jaccard	A17	B22	P22	G01	M01	P01	EA48	EB01	EB02	EB13	EB17	YA04	YB31	YB56	YA23	YB43	YB54	Z16
A17	0	0.557	0.604	0.656	0.584	0.591	0.898	0.941	0.945	0.917	0.935	0.958	0.967	0.956	0.973	0.956	0.963	0.968
B22	0.557	0	0.478	0.622	0.530	0.491	0.828	0.863	0.891	0.885	0.862	0.963	0.939	0.924	0.943	0.953	0.927	0.913
P22	0.604	0.478	0	0.624	0.574	0.508	0.869	0.883	0.922	0.895	0.849	0.981	0.952	0.942	0.966	0.978	0.953	0.959
G01	0.656	0.622	0.624	0	0.346	0.541	0.948	0.964	0.982	0.980	0.981	0.991	0.981	0.968	0.985	0.991	0.977	0.984
M01	0.584	0.530	0.574	0.346	0	0.465	0.905	0.942	0.950	0.951	0.947	0.988	0.971	0.959	0.977	0.980	0.964	0.963
P01	0.591	0.491	0.508	0.541	0.465	0	0.851	0.880	0.918	0.916	0.881	0.990	0.964	0.945	0.963	0.984	0.950	0.949
EA48	0.898	0.828	0.869	0.948	0.905	0.851	0	0.699	0.668	0.732	0.684	0.904	0.846	0.805	0.825	0.888	0.705	0.790
EB01	0.941	0.863	0.883	0.964	0.942	0.880	0.699	0	0.694	0.657	0.630	0.930	0.865	0.828	0.806	0.922	0.800	0.842
EB02	0.945	0.891	0.922	0.982	0.950	0.918	0.668	0.694	0	0.516	0.590	0.907	0.856	0.824	0.797	0.889	0.764	0.787
EB13	0.917	0.885	0.895	0.980	0.951	0.916	0.732	0.657	0.516	0	0.565	0.867	0.848	0.795	0.800	0.888	0.778	0.795
EB17	0.935	0.862	0.849	0.981	0.947	0.881	0.684	0.630	0.590	0.565	0	0.892	0.839	0.814	0.779	0.883	0.778	0.835
YA04	0.958	0.963	0.981	0.991	0.988	0.990	0.904	0.930	0.907	0.867	0.892	0	0.477	0.489	0.556	0.519	0.703	0.957
YB31	0.967	0.939	0.952	0.981	0.971	0.964	0.846	0.865	0.856	0.848	0.839	0.477	0	0.423	0.494	0.615	0.593	0.923
YB56	0.956	0.924	0.942	0.968	0.959	0.945	0.805	0.828	0.824	0.795	0.814	0.489	0.423	0	0.495	0.606	0.540	0.877
YA23	0.973	0.943	0.966	0.985	0.977	0.963	0.825	0.806	0.797	0.800	0.779	0.556	0.494	0.495	0	0.579	0.553	0.877
YB43	0.956	0.953	0.978	0.991	0.980	0.984	0.888	0.922	0.889	0.888	0.883	0.519	0.615	0.606	0.579	0	0.666	0.935
YB54	0.963	0.927	0.953	0.977	0.964	0.950	0.705	0.800	0.764	0.778	0.778	0.703	0.593	0.540	0.553	0.666	0	0.787
Z16	0.968	0.913	0.959	0.984	0.963	0.949	0.790	0.842	0.787	0.795	0.835	0.957	0.923	0.877	0.877	0.935	0.787	0
