Family	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
f__Lachnospiraceae	10.46407	7.03093	29.65965	33.07255	26.55652	28.70398	38.63999	0.00839	0.47469	0.44168	0.53606	68.35409	58.8053	55.8548	73.30651	73.76419	57.34813	89.85571
f__Oscillospiraceae	6.36598	18.10401	28.28498	16.09135	13.45537	14.57182	16.88879	6.62432	12.26493	27.89559	16.77604	8.14234	9.91609	9.36436	16.00559	16.56271	13.79001	18.96631
f__Enterobacteriaceae	31.75528	25.50817	6.80057	14.03205	0.02063	2.31968	8.51632	64.85196	43.83537	36.41617	23.42604	0.01644	0.34725	0.25838	0.00664	2.61482	2.05679	0.0851
unclassified	1.93212	8.08254	5.99177	8.65944	7.88755	8.89728	16.33183	5.45216	6.17626	2.61041	19.42805	8.4742	37.96936	16.34059	0.04684	6.30621	39.34695	6.191
f__Clostridiaceae	4.01535	24.35137	6.21123	5.68692	4.84951	4.70092	6.23589	14.14542	1.04182	3.68879	5.59496	1.23931	1.96102	1.93467	0.32285	3.57971	0.80357	5.35872
f__Prevotellaceae	0.43677	0.9449	10.43774	11.92883	40.24198	15.86382	7.1491	0.02318	0.02538	2.72171	0.01326	0	0.35504	1.28331	0	1.15585	0.44082	0.5159
f__Bacteroidaceae	16.68728	4.64738	1.79962	1.67939	4.3914	12.84097	10.38699	0.05924	7.18249	7.22458	7.72953	0.03978	0.11114	0.22774	0.63179	0	0.01488	3.47688
f__Rikenellaceae	21.41873	0.69843	2.97203	1.33221	0.17511	0.24288	2.07974	2.2685	4.68277	6.62647	3.61315	0	0.18278	0.99751	0	0.01025	0.28333	0.06453
f__Erysipelotrichaceae	0.51526	0.75511	1.07838	1.07692	0.74454	6.18593	1.48776	0	0.02467	0.0097	0.06509	4.7875	4.15765	10.58905	0.87041	0.46712	2.52862	0.35973
f__Bifidobacteriaceae	0.01197	0	0.00769	0	0	0.06429	0	0.12994	0.04126	0	0.65939	4.28519	2.16509	0	14.13413	5.02079	5.07195	0.21766
f__Coriobacteriaceae	0.05691	0.41605	0.90221	2.1432	0.39947	1.36187	1.22362	0.8084	0.03162	0	2.31655	5.89487	2.06989	5.38778	0	4.56403	1.72331	1.26673
f__Selenomonadaceae	0	0.08231	0.1533	1.07505	1.8231	2.14984	0.10302	0.30365	0.00121	0.19302	0.22953	0	0.36198	0.79309	0.01534	0.90129	2.16952	17.26986
f__FGB9581	0	12.10609	0.2808	0.28046	0	0.00072	0	2.14948	5.42795	4.53645	0	0	0	0	0	0	0	0
f__Streptococcaceae	1.52218	0.01429	0.08746	1.57334	0.12777	0.38996	0.08391	0	0.00624	0.00467	0.00455	3.16733	9.69282	4.26753	0.34507	1.19804	1.21573	0.24842
f__Lactobacillaceae	0.54855	0.44214	1.47032	1.92307	0.17006	0.0464	0.67319	11.99501	2.8443	0.00987	0.15811	0.21218	0.20018	0.88082	1.17808	0.18368	0	0
f__Eubacteriaceae	1.28964	4.30384	0.38019	1.06574	0.37606	0.63953	0.57934	0.18327	1.61315	0	0.27291	0.09413	0.35887	1.23687	0	2.15235	0.32892	1.06852
f__Pseudomonadaceae	0	2.52896	0.34253	0.11067	0	0	0.01824	0	1.18061	5.90154	0.4809	0	0	0	0	0	0	5.32671
f__Acidaminococcaceae	0.02175	0.95849	3.02903	3.87398	1.01858	1.75222	1.9847	0.01935	0.34303	0.98059	0.08286	0	3e-04	0.01561	0.00063	0.00658	0	1.38866
f__Desulfovibrionaceae	0.23434	0.55609	1.18626	0.69666	1.37678	1.34215	0.2347	0.25485	0.2712	3.90962	2.21293	0	0	0.86955	0	0.11267	0.00082	0.82678
f__FGB2982	0	0.18267	1.83194	0.01792	0	0.00251	0.02345	0.04554	1.12927	0.02381	9.12528	0	0	0	0	0	0	0
f__Enterococcaceae	0.00834	1.01474	1.76826	1.02339	0	0	0	0.30306	2.19821	0.01122	2.69371	0	0.00216	0.19754	0	0.01201	0	0.60133
f__Odoribacteraceae	1.25259	0.80111	1.65208	0.37403	0.17622	0.01859	0.44955	0.00094	0.72031	0.05451	3.97053	0	0	0.00604	0	0	0	0.00128
f__Synergistaceae	0.08281	0.05045	0.00505	0	0	0	0	1.40385	0.68515	1.90534	4.32432	0	0	0.03601	0	0	0	0.07292
f__Eggerthellaceae	0.34189	0.06913	0.48551	0.51871	0.24076	0.01822	0.15001	0.45155	0.02454	0	0.89483	0.78032	0.19924	1.98893	0.09751	0.39391	1.60732	0.08572
f__Peptostreptococcaceae	0	0.00919	1.23361	0.40345	0.57581	1.63964	0.66601	0	0.00133	0	0	0.38734	0.08991	1.47743	0	1.12906	0.39932	0.07348
f__FGB10477	0	0.74064	0.03344	0	0	0	0	0	2.74725	0.42609	4.0806	0	0	0	0	0	0	0
f__Tannerellaceae	1.50126	0.79409	2.28289	0.58505	0.26967	0.61564	0.43134	0.01866	0.36043	0.11317	0.27571	0.00111	0.00548	0.00034	0.00028	0	0	0.01414
f__FGB4806	0	0	0.82168	0.003	2.29032	0.32718	0	0	3.48216	0	0.24339	0	0	0	0	0	0	0
f__Fusobacteriaceae	0	0.19666	0.01248	0.33621	1.90292	1.50373	1.03249	0	0	0	1.42463	0	0	0	0	0	0	0
f__FGB3012	1.05244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.17419
f__Methanobacteriaceae	0.1073	5.89865	0	0.06676	0	0	0	0	0.01082	0.04634	0.01736	0	0	0	0	0	0	0
f__Akkermansiaceae	0	2.06996	0	0	0	0	0	0.04977	2.02305	0.634	0.01085	0	0	0	0	0	0	0
f__Ruminococcaceae	0	0.05866	0.07755	0.12581	0.00569	0.02431	0.03421	0.03088	0.17634	0.00529	0	0.51845	0	0.87974	0	1.62106	0.88515	0
f__FGB76783	0	0	0	0	0	0	0	0.03059	0.48084	3.8981	0	0	0	0.02857	0	0	0.004	0
f__Sutterellaceae	0.03166	0.01161	0.57061	0.18442	1.40526	0.41111	0.65338	0	0.01848	0.3336	0.42814	0	0	0.08405	0	0	0	0.01683
f__FGB14936	0	0.06919	0	0	0	0.66354	0.13308	0	0	0.13836	0	0	1.25622	0.65409	0	0.72661	0	0
f__FGB38642	0.03232	0.0846	0.14525	0	0	0.00193	0.07951	0.24504	1.12179	1.28481	0.08114	0	0.00769	0.32245	0	0	0	0
f__FGB3068	0.08326	0.14906	0.5337	0	0	0.01828	0.204	0.08571	0.05341	0.38157	0.8834	0	0.01322	0.29441	0	0	0	0.6107
f__FGB9989	1.07762	0.36449	0.12654	0.01035	0	0	0.00369	0	0	1.09986	0	0	0	0.02882	0	0	0	0
f__Eubacteriales_Family_XIII_Incertae_Sedis	0.47565	0.05391	0.07227	0.05064	0.03606	0.01763	0	0.01335	0.05523	0.0226	0.27947	0.14156	0.09705	0.77153	0.00847	0.18105	0.1734	0.0449
f__FGB76000	0.4328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05109	0	0
f__FGB629	0	0.02552	0.4991	0.26331	0.48108	0.02246	0	0	0	1.00619	0	0	0	0	0	0	0.00486	0
f__FGB1354	0	0	0	0	0	0.00028	0.00702	0	0	0	1.90225	0	0	0.02197	0	0	0.00081	0
f__Aeromonadaceae	0.00319	0.1239	0.02222	0	0	0	0	0.392	0.00756	0.01546	1.32566	0	0	0	0	0	0	0
f__Veillonellaceae	0	0.00099	0.00148	0.07348	0.00581	0.03247	0.06845	0	0.87129	0.24232	0	0.00163	0.09192	0	0	0.1166	0	0.26601
f__Comamonadaceae	0	0	1.68427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Sanguibacteraceae	0	0	0	0	0	0	0	0.1674	0.07384	0.01317	0	0	0	1.26466	0	0	0	0
f__FGB3069	0	0.09052	0.04557	0	0	0	0	0.74973	0.08391	0.05664	0.15383	0	0	0	0	0	0	0.27714
f__Staphylococcaceae	0.00155	0	0.98159	0	0	0	0.3059	0	0	0	0.00094	0	0	0.11382	0	0	0	0.00629
f__FGB31455	0	0	1.20004	0	0	0.00662	0.00837	0	0	0	0	0	0	0	0	0	0	0
f__Actinomycetaceae	0.03182	0	0.00487	0.01263	0	0.07554	0.00686	0.01178	0	0	0.08795	0.34013	0.15845	0.13397	0.03213	0.21966	0.08324	0
f__FGB2987	0	0	0.2561	0.27938	0	0	0	0	0.02764	0	0	0	0	0.0416	0	0	0.59038	0.0017
f__FGB3070	0	0.32408	0.5166	0	0	0.12547	0.12321	0.03296	0	0	0	0	0	0.00525	0	0.04771	0	0
f__FGB2947	0	0	1.03243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB1359	0	0	0.06467	0.05319	0	0	0	0	0	0	0.82046	0	0	0	0	0	0	0
f__FGB529	0	0.14198	0.0979	0	0	0	0	0.04277	0.44178	0.12677	0	0	0	0	0	0	0	0.00202
f__Coprobacillaceae	0	0.12236	0.42513	0.03287	0	0.03411	0	0	0	0.02294	0.00204	0.1497	0	0	0.01977	0	0.02903	0
f__FGB76763	0	0	0.0976	0.15288	0	0	0	0	0	0	0.05572	0	0	0	0	0.51176	0	0
f__FGB1226	0	0.06701	0.27153	0.0287	0	0	0.01936	0.00289	0.05258	0.13848	0.17495	0	0	0	0	0	0	0
f__FGB72924	0	0	0	0	0	0	0.41872	0	0	0	0	0	0	0	0	0	0	0.2474
f__FGB2830	0	0	0	0	0	0.64013	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB2992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62298	0	0
f__FGB1507	0.05623	0.00825	0.02534	0.02129	0.06758	0.02646	0	0	0	0	0	0	0	0	0	0	0	0.35639
f__Pasteurellaceae	0	0	0	0.00455	0.01824	0.10552	0.06621	0	0	0	0	0	0.33042	0	0	0.02003	0	0
f__Micrococcaceae	0	0	0	0.00471	0.05354	0.00141	0	0	0	0	0.00191	0.0071	0.34011	0.01177	0.00375	0.10334	0	0.00684
f__Peptococcaceae	0.52506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Nitrosopumilaceae	0	0.31532	0.06924	0	0	0	0	0	0	0	0.07584	0	0	0	0	0	0	0
f__FGB8287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4524	0	0
f__Flavobacteriaceae	0	0.00276	0	0.43386	0	0.0041	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB9718	0	0	0.03098	0.08875	0.15865	0	0.036	0	0	0	0	0	0.03595	0.08016	0	0	0	0
f__Hafniaceae	0.42532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Victivallaceae	0	0	0.00582	0	0	0	0	0	0.22413	0	0.18958	0	0	0	0	0	0	0
f__Sphingobacteriaceae	0	0	0	0	0	0	0	0	0	0	0.38706	0	0	0	0	0	0	0
f__Christensenellaceae	0.02081	0.1961	0.01113	0.00297	0	0	0	0.02604	0.0154	0.01133	0.06387	0	0	0.00063	0	0	0.00232	0.03087
f__FGB10312	0	0	0.03098	0	0	0	0	0	0	0	0	0	0	0.34869	0	0	0	0
f__FGB12107	0	0	0	0	0.04685	0.2605	0	0.03952	0	0	0.02564	0	0	0	0	0	0	0
f__FGB75522	0	0	0	0	0	0.35619	0	0	0	0	0	0	0	0	0	0	0	0
f__Methanomassiliicoccaceae	0	0	0	0	0	0	0	0	0	0	0.29958	0	0	0	0	0	0	0
f__Sphingomonadaceae	0	0	0.01448	0	0	0.00535	0	0	0	0	0.04362	0	0.21205	0	0	0	0.01606	0
f__FGB59744	0	0.00209	0.00139	0	0	0	0	0	0	0	0.25752	0	0	0	0	0	0	0
f__Barnesiellaceae	0.03137	0.00294	0.00068	0	0	0	0.2034	0	0	0	0	0	0.00417	0.00309	0	0	0	0.01252
f__FGB76375	0	0	0	0.03805	0	0.03216	0	0	0	0	0	0.16919	0	0	0	0	0	0
f__FGB1011	0	0.12925	0	0.02175	0	0	0	0	0	0.03679	0.0011	0	0	0	0	0	0	0.04238
f__FGB1473	0	0	0	0.03995	0.03214	0	0	0	0	0	0	0	0	0.08695	0	0	0.06873	0
f__Turicibacteraceae	0	0	0	0.03546	0.02508	0	0	0	0	0	0	0.12066	0	0	0	0	0.02815	0.00105
f__FGB2985	0	0.08175	0	0	0	0	0	0	0.12617	0	0	0	0	0	0	0	0	0
f__FGB76465	0	0.20671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Chromatiaceae	0	0	0.03092	0.01414	0	0.03629	0	0	0	0.00606	0.00933	0	0	0	0	0	0	0.10177
f__Propionibacteriaceae	0	0	0.00766	0.00068	0	0	0	0.00062	0	0	0.00312	0.08178	0.00169	0.01978	0.00933	0.06588	0.00209	0
f__FGB1201	0	0.0244	0.15541	0	0	0	0	0	0	0	0.01154	0	0	0	0	0	0	0
