Genus	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
unclassified	5.67865	33.02824	26.99336	11.04061	12.51839	8.48506	16.89963	15.75479	2.4879	21.06268	11.09932	4.88376	29.81547	14.68525	10.56742	34.48557	12.19572	87.51951
g__Blautia	0.92971	0.6029	4.05799	2.80263	2.80474	3.58345	4.64467	0	0.01762	0	0.00049	39.818	39.81911	30.52039	44.75936	23.65143	36.4747	0.58408
g__Escherichia	31.48258	24.41587	1.73334	1.28471	0.02063	0.10158	0.01815	64.84201	43.83537	32.57584	20.026	0.01644	0.12172	0.25789	0.00664	0.68867	1.46357	0.01799
g__Faecalibacterium	0.00317	0.57803	12.09273	12.55099	8.80809	13.0577	10.11596	0.37322	1.62551	4.31197	0	0.01385	6.21893	0.84189	0.27189	13.6401	9.5511	13.12953
g__Gemmiger	0	3.87122	1.81386	4.64064	3.26421	4.11324	7.59567	3.62826	2.18748	0.12099	8.31471	5.27679	12.70956	12.05937	0	3.63753	25.57566	2.18451
g__Prevotella	0.43564	0.88959	7.13072	11.8318	20.24883	15.62059	6.8402	0.02318	0.02538	2.52027	0.01063	0	0.35504	1.20988	0	1.15585	0.44082	0.45098
g__Mediterraneibacter	7.43974	1.74657	0.46782	5.1872	2.29593	5.91003	5.29778	0.00288	0.07926	0	0.08804	5.95504	5.58161	0.80043	4.97438	4.67046	0.58677	1.39692
g__Ruminococcus	0.08798	0.06004	4.28635	0.92469	3.51699	0.35639	3.04478	0.0173	0.16452	0.00507	0.02753	7.64485	3.39542	6.7901	15.55597	1.92357	3.01822	1.33353
g__Phocaeicola	5.88434	2.42347	0.94331	1.35688	3.0974	10.16191	7.54801	0	0.40534	3.92196	6.99594	0.0229	0.10517	0.2196	0.45928	0	0.01488	3.45267
g__Alistipes	21.22808	0.64988	1.43491	0.79988	0.17511	0.23209	0.60071	2.18054	4.05478	6.62647	3.54313	0	0.18278	0	0	0.01025	0.05896	0.05799
g__Anaerobutyricum	0.08016	0.00025	0.67509	0.64344	0.87541	0.7665	0.25472	0	0	0	0	6.109	4.29699	5.06199	7.90829	3.53001	6.38517	0.02822
g__Roseburia	0.11924	0.23974	2.54674	11.11354	3.83671	4.31795	7.76099	0	0.01655	0.20611	0	0	0	0.12157	0	0.54568	0.12211	3.65745
g__Bacteroides	10.80294	2.22391	0.85631	0.32251	1.294	2.67906	2.83898	0.05924	6.77715	3.30262	0.73359	0.01688	0.00597	0.00814	0.17251	0	0	0.02421
g__Bifidobacterium	0.01197	0	0.00769	0	0	0.06429	0	0.12781	0.04126	0	0.65582	4.28378	2.16509	0	14.13118	5.02079	5.07195	0.21766
g__Collinsella	0	0.41605	0.90221	1.94698	0.39947	1.07225	1.22362	0.70054	0.03162	0	2.22379	5.89487	2.00996	5.38778	0	4.55422	1.72331	1.26673
g__Klebsiella	0.08019	1.0923	2.41273	9.92843	0	0.13378	8.31012	0.00995	0	3.83673	2.17541	0	0.13131	0	0	0.01003	0.27862	0.06711
g__Dorea	0.35714	0.04156	1.44014	0.65408	1.25271	1.57764	1.14784	0	0	0	0	4.49871	3.1409	4.94822	2.0076	2.60953	3.57689	0.14733
g__Fusicatenibacter	0	0.53963	0.41842	0.51594	1.3979	4.27908	2.25552	0	0.00967	0	0	0	2.24091	3.16403	1.76236	5.44875	4.97764	0.3414
g__GGB9581	0	12.10609	0.2808	0.28046	0	0.00072	0	2.14948	5.42795	4.53645	0	0	0	0	0	0	0	0
g__Megamonas	0	0	0	0.93336	1.29015	1.90899	0.04514	0	0	0.19302	0	0	0	0.14402	0.01534	0.24095	1.5713	17.26986
g__Clostridium	0.65878	0.60874	3.8891	4.13903	2.04423	2.22568	3.40277	0	0.80859	0.02032	0	0	0.00408	0.05024	0.26528	1.32776	0.31072	2.98378
g__Streptococcus	1.50378	0.01429	0.07657	0.09619	0.12777	0.38786	0.00523	0	0	0	0.00455	3.16733	9.43671	3.88506	0.34507	1.15535	1.21573	0.24842
g__GGB1239	0	0	0	0.09669	19.95374	0.24194	0.28334	0	0	0	0	0	0	0	0	0	0	0.06492
g__GGB9708	1.87526	2.83489	0.00402	0.11781	0	0	0	0.10188	5.08062	1.08042	8.72482	0	0	0	0	0	0	0.28532
g__Holdemanella	0.382	0.5713	0.61555	0.79621	0.70526	2.45683	1.3032	0	0	0	0	0	3.00982	8.61984	0	0	0	0
g__Anaerostipes	0	0	0.20061	0.14079	0.5199	0.31012	0.13247	0	0	0	0	10.53109	0.03173	1.33035	1.07224	0.31397	2.59409	0.02314
g__GGB9747	0	2.52896	0.34253	0.11067	0	0	0.01824	0	1.18061	5.90154	0.4809	0	0	0	0	0	0	5.32671
g__Faecalibacillus	0	0.02752	0.36152	0.28002	0.03928	3.14075	0.01504	0	0	0	0	4.5533	1.14783	1.25744	0	0.18989	2.52801	0.32441
g__GGB4569	0	0	0	0	0	0	0	11.56752	1.64319	0	0	0	0	0	0	0	0	0
g__GGB9342	0	0.18267	1.83194	0.01792	0	0.00251	0.02345	0.04554	1.12927	0.02381	9.12528	0	0	0	0	0	0	0
g__Eubacterium	0.07667	3.97153	0.11319	1.04867	0.37606	0.61641	0.56926	0	1.55349	0	0.0106	0.09413	0.35887	0.13548	0	2.15138	0.06147	1.04131
g__GGB9634	0	4.59202	0.46668	0.11059	0	0.01444	0	1.18871	0	0	3.71177	0	0	0	0	0	0	0
g__Desulfovibrio	0.23105	0.52646	0.6548	0.65726	0.74498	1.26035	0.09943	0.1904	0.23842	2.70022	1.65971	0	0	0.84013	0	0.01308	0	0.24862
g__Phascolarctobacterium	0.02175	0.95727	0.01723	3.87398	1.01858	1.75222	0.24615	0	0.34303	0	0.07599	0	3e-04	0.01561	0.00063	0	0	1.38866
g__Evtepia	1.40598	0	1.5144	0.19848	0	0.03324	0	0	0	0	4.89075	0	0	0	0	0.48567	0	0.57321
g__Coprococcus	0.13062	0.0978	0.37427	1.88968	0.47461	0.88638	1.09579	0	0	0.00207	0.00127	0	0.63269	0.50458	0	0.70498	1.29148	0.51681
g__Lachnospira	0	0.03447	0.72123	2.39898	1.32951	0.49911	2.79855	0	0	0	0	0.13324	0.0691	0.0903	0	0.00557	0.00609	0.47928
g__GGB9345	0	0.74064	0.03344	0	0	0	0	0	2.74725	0.42609	4.0806	0	0	0	0	0	0	0
g__Enterobacter	0	0	2.51427	0.97717	0	2.06464	0.13242	0	0	0	0	0	0	0	0	1.89083	0.3146	0
g__Romboutsia	0	0.00919	1.06067	0.30634	0.57454	1.61509	0.66601	0	0	0	0	0.38366	0.07651	1.47743	0	1.12473	0.34534	0.00874
