euclidean	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
A17	0	56.2	60.4	59.2	60.2	59.4	59.8	55.4	55.8	56.3	55.4	60.7	59.1	60.2	62.1	58.7	58.7	58.2
B22	56.2	0	45.7	50.1	51.4	50.2	48.8	53.1	50.2	50.0	48.6	63.2	54.6	50.4	69.3	53.9	57.2	50.0
EA48	60.4	45.7	0	45.4	47.1	45.9	43.5	56.6	52.7	51.8	50.6	65.5	54.2	46.0	72.4	51.2	56.6	49.0
EB01	59.2	50.1	45.4	0	49.8	48.1	47.5	57.6	54.4	54.9	53.6	61.9	54.1	49.7	68.3	51.3	55.7	51.1
EB02	60.2	51.4	47.1	49.8	0	48.0	46.4	58.4	55.5	54.6	54.8	61.2	53.1	49.0	66.3	52.1	55.7	50.9
EB13	59.4	50.2	45.9	48.1	48.0	0	46.9	57.8	55.3	54.8	54.1	62.3	52.8	48.5	67.1	51.2	55.1	51.6
EB17	59.8	48.8	43.5	47.5	46.4	46.9	0	57.5	54.8	53.2	53.0	62.8	52.9	47.3	68.8	52.1	55.5	50.3
G01	55.4	53.1	56.6	57.6	58.4	57.8	57.5	0	50.7	51.3	49.4	62.8	57.9	58.0	66.3	59.4	58.7	55.8
M01	55.8	50.2	52.7	54.4	55.5	55.3	54.8	50.7	0	50.0	49.3	62.9	56.9	55.6	67.3	56.1	58.0	53.4
P01	56.3	50.0	51.8	54.9	54.6	54.8	53.2	51.3	50.0	0	48.4	64.6	57.8	55.3	68.9	57.5	58.7	52.6
P22	55.4	48.6	50.6	53.6	54.8	54.1	53.0	49.4	49.3	48.4	0	64.0	57.2	54.2	69.4	56.5	58.5	52.5
YA04	60.7	63.2	65.5	61.9	61.2	62.3	62.8	62.8	62.9	64.6	64.0	0	57.3	60.6	55.2	57.7	55.5	61.5
YA23	59.1	54.6	54.2	54.1	53.1	52.8	52.9	57.9	56.9	57.8	57.2	57.3	0	51.9	61.5	53.5	53.7	54.8
YB31	60.2	50.4	46.0	49.7	49.0	48.5	47.3	58.0	55.6	55.3	54.2	60.6	51.9	0	66.8	51.0	53.4	50.9
YB43	62.1	69.3	72.4	68.3	66.3	67.1	68.8	66.3	67.3	68.9	69.4	55.2	61.5	66.8	0	63.6	59.7	66.9
YB54	58.7	53.9	51.2	51.3	52.1	51.2	52.1	59.4	56.1	57.5	56.5	57.7	53.5	51.0	63.6	0	53.2	53.9
YB56	58.7	57.2	56.6	55.7	55.7	55.1	55.5	58.7	58.0	58.7	58.5	55.5	53.7	53.4	59.7	53.2	0	56.1
Z16	58.2	50.0	49.0	51.1	50.9	51.6	50.3	55.8	53.4	52.6	52.5	61.5	54.8	50.9	66.9	53.9	56.1	0
