jaccard_binary	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
A17	0	0.424	0.446	0.459	0.479	0.463	0.459	0.461	0.449	0.448	0.431	0.580	0.493	0.471	0.662	0.478	0.505	0.463
B22	0.424	0	0.247	0.308	0.325	0.309	0.290	0.373	0.329	0.322	0.303	0.530	0.379	0.311	0.655	0.365	0.422	0.317
EA48	0.446	0.247	0	0.245	0.265	0.250	0.224	0.389	0.335	0.322	0.306	0.524	0.353	0.250	0.652	0.315	0.390	0.288
EB01	0.459	0.308	0.245	0	0.308	0.287	0.277	0.424	0.374	0.375	0.356	0.512	0.374	0.303	0.641	0.336	0.404	0.327
EB02	0.479	0.325	0.265	0.308	0	0.290	0.269	0.440	0.392	0.378	0.375	0.512	0.367	0.300	0.625	0.349	0.409	0.330
EB13	0.463	0.309	0.250	0.287	0.290	0	0.271	0.428	0.385	0.376	0.362	0.519	0.360	0.292	0.628	0.335	0.397	0.334
EB17	0.459	0.290	0.224	0.277	0.269	0.271	0	0.417	0.374	0.352	0.345	0.516	0.355	0.275	0.638	0.339	0.395	0.315
G01	0.461	0.373	0.389	0.424	0.440	0.428	0.417	0	0.370	0.371	0.344	0.583	0.460	0.429	0.690	0.468	0.484	0.417
M01	0.449	0.329	0.335	0.374	0.392	0.385	0.374	0.370	0	0.344	0.330	0.562	0.432	0.388	0.675	0.414	0.459	0.376
P01	0.448	0.322	0.322	0.375	0.378	0.376	0.352	0.371	0.344	0	0.317	0.576	0.437	0.380	0.686	0.424	0.462	0.362
P22	0.431	0.303	0.306	0.356	0.375	0.362	0.345	0.344	0.330	0.317	0	0.560	0.424	0.363	0.682	0.407	0.453	0.356
YA04	0.580	0.530	0.524	0.512	0.512	0.519	0.516	0.583	0.562	0.576	0.560	0	0.494	0.496	0.598	0.487	0.488	0.525
YA23	0.493	0.379	0.353	0.374	0.367	0.360	0.355	0.460	0.432	0.437	0.424	0.494	0	0.349	0.602	0.387	0.410	0.394
YB31	0.471	0.311	0.250	0.303	0.300	0.292	0.275	0.429	0.388	0.380	0.363	0.496	0.349	0	0.623	0.333	0.377	0.326
YB43	0.662	0.655	0.652	0.641	0.625	0.628	0.638	0.690	0.675	0.686	0.682	0.598	0.602	0.623	0	0.616	0.599	0.646
YB54	0.478	0.365	0.315	0.336	0.349	0.335	0.339	0.468	0.414	0.424	0.407	0.487	0.387	0.333	0.616	0	0.395	0.376
YB56	0.505	0.422	0.390	0.404	0.409	0.397	0.395	0.484	0.459	0.462	0.453	0.488	0.410	0.377	0.599	0.395	0	0.421
Z16	0.463	0.317	0.288	0.327	0.330	0.334	0.315	0.417	0.376	0.362	0.356	0.525	0.394	0.326	0.646	0.376	0.421	0
