ID	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
k__Bacteria	99.8927	94.02251	99.98269	99.93324	100.0	100.0	100.0	100.0	99.98918	99.95366	99.86382	100.0	100.0	100.0	99.98623	100.0	100.0	100.0
k__Archaea	0.1073	5.97749	0.01731	0.06676	0.0	0.0	0.0	0.0	0.01082	0.04634	0.13618	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes	41.32797	8.09171	19.75185	16.59669	45.73544	29.61005	20.70646	2.45115	13.43831	18.01638	16.27925	0.0409	0.65862	2.51802	0.63206	1.16874	0.75088	4.26075
k__Bacteria|p__Proteobacteria	32.44979	28.72874	10.67632	15.09946	2.82092	4.86025	9.48885	65.50995	45.36412	46.61429	27.93178	0.01644	0.89015	1.21198	0.00664	2.74752	2.07368	6.40305
k__Bacteria|p__Firmicutes	25.58954	54.39157	67.82534	64.86531	48.80009	62.212	67.39172	28.93408	38.0508	32.76933	45.68966	88.32732	93.47478	87.34892	85.05156	85.35976	88.08802	87.67454
k__Bacteria|p__Actinobacteria	0.44259	0.48518	1.68143	2.9593	0.74062	1.78181	1.38048	1.65119	0.19889	0.01433	3.99981	11.40952	4.97645	8.8517	14.29597	10.38662	9.07894	1.57864
k__Archaea|p__Euryarchaeota	0.1073	5.89865	0.0	0.06676	0.0	0.0	0.0	0.0	0.01082	0.04634	0.01736	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Synergistetes	0.08281	0.05045	0.00505	0.0	0.0	0.0	0.0	1.40386	0.68515	1.90533	4.32433	0.0	0.0	0.03601	0.0	0.0	0.0	0.07292
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	41.32797	7.88887	19.15346	15.89953	45.25437	29.58189	20.70012	2.37051	12.99653	16.75016	15.6105	0.0409	0.65862	2.51802	0.63206	1.1661	0.73903	4.08522
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	32.18378	28.16103	7.19622	14.1614	0.03887	2.46152	8.60077	65.24397	45.02354	42.33923	25.24192	0.01644	0.67768	0.25838	0.00664	2.63485	2.0568	5.55945
k__Bacteria|p__Firmicutes|c__Clostridia	20.1892	35.58832	51.09102	53.34279	42.32128	49.72466	61.43279	12.81262	16.59613	19.10161	24.61335	79.64641	77.02518	68.54046	82.60628	78.96772	82.03053	60.39033
k__Bacteria|p__Firmicutes|c__Bacilli	2.08064	1.47116	4.32161	4.52329	0.29835	0.44629	1.06721	12.29808	5.04875	0.02576	2.85731	3.49304	9.98242	5.51292	1.53913	1.41682	1.21622	0.85604
k__Bacteria|p__Firmicutes|c__CFGB9989	1.07762	0.36449	0.12654	0.01035	0.0	0.0	0.00369	0.0	0.0	1.09986	0.0	0.0	0.0	0.02882	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3012	1.05244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17419
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.51526	0.87747	1.50351	1.14525	0.76962	6.22003	1.48776	0.0	0.02467	0.03263	0.06712	5.05787	4.15765	10.58905	0.89018	0.46712	2.5858	0.36078
k__Bacteria|p__Firmicutes|c__CFGB76000	0.4328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05109	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.3988	0.48518	1.38771	2.66192	0.64023	1.38008	1.37362	1.30061	0.05616	0.00115	3.22018	6.69209	2.27692	7.37743	0.11664	4.96236	3.33063	1.35244
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.23435	0.5561	1.18626	0.69666	1.37679	1.34215	0.2347	0.25485	0.2712	3.90962	2.21292	0.0	0.0	0.86955	0.0	0.11268	0.00082	0.82678
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.1073	5.89865	0.0	0.06676	0.0	0.0	0.0	0.0	0.01082	0.04634	0.01736	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3068	0.08326	0.14906	0.5337	0.0	0.0	0.01828	0.204	0.08571	0.05341	0.38157	0.8834	0.0	0.01322	0.29441	0.0	0.0	0.0	0.6107
k__Bacteria|p__Synergistetes|c__Synergistia	0.08281	0.05045	0.00505	0.0	0.0	0.0	0.0	1.40386	0.68515	1.90533	4.32433	0.0	0.0	0.03601	0.0	0.0	0.0	0.07292
k__Bacteria|p__Firmicutes|c__CFGB1507	0.05623	0.00825	0.02534	0.02129	0.06758	0.02646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35639
k__Bacteria|p__Firmicutes|c__CFGB1249	0.04803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia	0.04379	0.0	0.03761	0.01801	0.05354	0.14123	0.00686	0.31107	0.1151	0.01317	0.75399	4.71743	2.69953	1.43267	14.17934	5.42425	5.15792	0.2245
k__Bacteria|p__Firmicutes|c__CFGB38642	0.03232	0.0846	0.14525	0.0	0.0	0.00193	0.07951	0.24504	1.12179	1.28481	0.08114	0.0	0.00769	0.32245	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.03166	0.01161	2.25488	0.18442	1.40526	0.41111	0.65338	0.01113	0.01847	0.3336	0.42814	0.0	0.00042	0.08405	0.0	0.0	0.0	0.01683
k__Bacteria|p__Firmicutes|c__Negativicutes	0.02175	1.0418	3.1838	5.0225	2.84749	3.93452	2.15617	0.32299	1.21553	1.41593	0.31239	0.00163	0.45421	0.80869	0.01597	1.02447	2.16952	18.92453
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	41.32797	7.88887	19.15346	15.89953	45.25437	29.58189	20.70012	2.37051	12.99653	16.75016	15.6105	0.0409	0.65862	2.51802	0.63206	1.1661	0.73903	4.08522
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	32.18059	25.50816	6.80056	14.03205	0.02063	2.31971	8.51633	64.85196	43.83537	36.41617	23.42604	0.01644	0.34725	0.25838	0.00664	2.61482	2.0568	0.08511
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	20.18147	35.4402	50.98731	53.14883	42.20256	49.66285	61.33409	12.63804	16.1118	18.66138	24.47115	79.12796	77.02518	67.65916	82.60628	77.34635	79.85887	60.29432
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2.07909	1.47116	3.32602	4.52329	0.29784	0.43913	0.7571	12.29808	5.04875	0.02576	2.85636	3.46697	9.92138	5.35885	1.52741	1.41682	1.21574	0.84974
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	1.07762	0.36449	0.12654	0.01035	0.0	0.0	0.00369	0.0	0.0	1.09986	0.0	0.0	0.0	0.02882	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	1.05244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17419
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.51526	0.87747	1.50351	1.14525	0.76962	6.22003	1.48776	0.0	0.02467	0.03263	0.06712	5.05787	4.15765	10.58905	0.89018	0.46712	2.5858	0.36078
k__Bacteria|p__Firmicutes|c__CFGB76000|o__OFGB76000	0.4328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05109	0.0	0.0
