jaccard	C1	C2	C3	C4	C5	C6	E6	E3	H1	H2	H3	H6	H5	H4	E1	E4	E2	E5
C1	0	0.686	0.699	0.664	0.703	0.792	0.769	0.822	0.829	0.861	0.840	0.867	0.884	0.846	0.935	0.908	0.945	0.963
C2	0.686	0	0.586	0.654	0.658	0.744	0.857	0.811	0.859	0.876	0.840	0.890	0.897	0.857	0.929	0.925	0.947	0.963
C3	0.699	0.586	0	0.580	0.651	0.707	0.860	0.823	0.836	0.841	0.808	0.876	0.892	0.852	0.938	0.920	0.942	0.964
C4	0.664	0.654	0.580	0	0.521	0.749	0.823	0.806	0.819	0.845	0.807	0.869	0.890	0.839	0.914	0.903	0.947	0.944
C5	0.703	0.658	0.651	0.521	0	0.747	0.804	0.844	0.812	0.836	0.813	0.865	0.889	0.823	0.920	0.900	0.937	0.954
C6	0.792	0.744	0.707	0.749	0.747	0	0.722	0.903	0.843	0.900	0.880	0.917	0.912	0.884	0.902	0.919	0.943	0.976
E6	0.769	0.857	0.860	0.823	0.804	0.722	0	0.871	0.892	0.939	0.913	0.942	0.951	0.921	0.916	0.934	0.896	0.964
E3	0.822	0.811	0.823	0.806	0.844	0.903	0.871	0	0.906	0.919	0.894	0.925	0.936	0.914	0.824	0.850	0.895	0.943
H1	0.829	0.859	0.836	0.819	0.812	0.843	0.892	0.906	0	0.542	0.623	0.592	0.629	0.672	0.913	0.901	0.945	0.958
H2	0.861	0.876	0.841	0.845	0.836	0.900	0.939	0.919	0.542	0	0.534	0.542	0.628	0.683	0.936	0.899	0.969	0.961
H3	0.840	0.840	0.808	0.807	0.813	0.880	0.913	0.894	0.623	0.534	0	0.546	0.592	0.695	0.928	0.906	0.965	0.963
H6	0.867	0.890	0.876	0.869	0.865	0.917	0.942	0.925	0.592	0.542	0.546	0	0.554	0.765	0.926	0.899	0.972	0.956
H5	0.884	0.897	0.892	0.890	0.889	0.912	0.951	0.936	0.629	0.628	0.592	0.554	0	0.736	0.942	0.903	0.960	0.943
H4	0.846	0.857	0.852	0.839	0.823	0.884	0.921	0.914	0.672	0.683	0.695	0.765	0.736	0	0.937	0.892	0.977	0.954
E1	0.935	0.929	0.938	0.914	0.920	0.902	0.916	0.824	0.913	0.936	0.928	0.926	0.942	0.937	0	0.724	0.914	0.947
E4	0.908	0.925	0.920	0.903	0.900	0.919	0.934	0.850	0.901	0.899	0.906	0.899	0.903	0.892	0.724	0	0.918	0.932
E2	0.945	0.947	0.942	0.947	0.937	0.943	0.896	0.895	0.945	0.969	0.965	0.972	0.960	0.977	0.914	0.918	0	0.954
E5	0.963	0.963	0.964	0.944	0.954	0.976	0.964	0.943	0.958	0.961	0.963	0.956	0.943	0.954	0.947	0.932	0.954	0
