SampleID	Group
Mx_All_1	Pseudomonadota
Mx_All_10	Bacillota
Mx_All_100	Cyanobacteriota
Mx_All_101	Bacillota_B
Mx_All_102	Pseudomonadota
Mx_All_103	Pseudomonadota
Mx_All_104	Bacillota_A
Mx_All_105	Bacillota_G
Mx_All_106	Bacillota_A
Mx_All_107	Bacillota_B
Mx_All_108	Pseudomonadota
Mx_All_109	Pseudomonadota
Mx_All_11	Bacillota_A
Mx_All_110	Bacillota
Mx_All_111	Hydrogenedentota
Mx_All_112	Myxococcota_A
Mx_All_113	Bacillota_G
Mx_All_114	Pseudomonadota
Mx_All_115	Pseudomonadota
Mx_All_116	Cyanobacteriota
Mx_All_117	Bacteroidota
Mx_All_118	Gemmatimonadota
Mx_All_119	Bacillota_E
Mx_All_12	Myxococcota
Mx_All_120	Bacillota
Mx_All_121	Bacillota_A
Mx_All_122	Bacillota
Mx_All_123	Bacillota_I
Mx_All_124	Bacillota_A
Mx_All_125	Pseudomonadota
Mx_All_126	Bacillota
Mx_All_127	Hinthialibacterota
Mx_All_128	Campylobacterota
Mx_All_129	Bacillota_A
Mx_All_13	Bacteroidota
Mx_All_130	Bacillota_A
Mx_All_131	Pseudomonadota
Mx_All_132	Actinomycetota
Mx_All_133	Bacillota
Mx_All_134	Planctomycetota
Mx_All_135	Pseudomonadota
Mx_All_136	Pseudomonadota
Mx_All_137	Bacillota_A
Mx_All_138	Bacteroidota
Mx_All_139	Pseudomonadota
Mx_All_14	Bacillota_A
Mx_All_140	Pseudomonadota
Mx_All_141	Pseudomonadota
Mx_All_142	Bacillota
Mx_All_143	Pseudomonadota
Mx_All_144	Patescibacteria
Mx_All_145	Bacillota
Mx_All_147	Pseudomonadota
Mx_All_148	Pseudomonadota
Mx_All_149	Bacillota
Mx_All_15	Pseudomonadota
Mx_All_150	Pseudomonadota
Mx_All_151	Actinomycetota
Mx_All_152	Bacillota_G
Mx_All_153	Bacillota
Mx_All_154	Gemmatimonadota
Mx_All_155	Bacillota_G
Mx_All_156	Planctomycetota
Mx_All_157	Pseudomonadota
Mx_All_158	Armatimonadota
Mx_All_159	Bacillota
