jaccard	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
C1	0	0.686	0.699	0.664	0.703	0.792	0.935	0.945	0.822	0.908	0.963	0.769	0.829	0.861	0.840	0.846	0.884	0.867
C2	0.686	0	0.586	0.654	0.658	0.744	0.929	0.947	0.811	0.925	0.963	0.857	0.859	0.876	0.840	0.857	0.897	0.890
C3	0.699	0.586	0	0.580	0.651	0.707	0.938	0.942	0.823	0.920	0.964	0.860	0.836	0.841	0.808	0.852	0.892	0.876
C4	0.664	0.654	0.580	0	0.521	0.749	0.914	0.947	0.806	0.903	0.944	0.823	0.819	0.845	0.807	0.839	0.890	0.869
C5	0.703	0.658	0.651	0.521	0	0.747	0.920	0.937	0.844	0.900	0.954	0.804	0.812	0.836	0.813	0.823	0.889	0.865
C6	0.792	0.744	0.707	0.749	0.747	0	0.902	0.943	0.903	0.919	0.976	0.722	0.843	0.900	0.880	0.884	0.912	0.917
E1	0.935	0.929	0.938	0.914	0.920	0.902	0	0.914	0.824	0.724	0.947	0.916	0.913	0.936	0.928	0.937	0.942	0.926
E2	0.945	0.947	0.942	0.947	0.937	0.943	0.914	0	0.895	0.918	0.954	0.896	0.945	0.969	0.965	0.977	0.960	0.972
E3	0.822	0.811	0.823	0.806	0.844	0.903	0.824	0.895	0	0.850	0.943	0.871	0.906	0.919	0.894	0.914	0.936	0.925
E4	0.908	0.925	0.920	0.903	0.900	0.919	0.724	0.918	0.850	0	0.932	0.934	0.901	0.899	0.906	0.892	0.903	0.899
E5	0.963	0.963	0.964	0.944	0.954	0.976	0.947	0.954	0.943	0.932	0	0.964	0.958	0.961	0.963	0.954	0.943	0.956
E6	0.769	0.857	0.860	0.823	0.804	0.722	0.916	0.896	0.871	0.934	0.964	0	0.892	0.939	0.913	0.921	0.951	0.942
H1	0.829	0.859	0.836	0.819	0.812	0.843	0.913	0.945	0.906	0.901	0.958	0.892	0	0.542	0.623	0.672	0.629	0.592
H2	0.861	0.876	0.841	0.845	0.836	0.900	0.936	0.969	0.919	0.899	0.961	0.939	0.542	0	0.534	0.683	0.628	0.542
H3	0.840	0.840	0.808	0.807	0.813	0.880	0.928	0.965	0.894	0.906	0.963	0.913	0.623	0.534	0	0.695	0.592	0.546
H4	0.846	0.857	0.852	0.839	0.823	0.884	0.937	0.977	0.914	0.892	0.954	0.921	0.672	0.683	0.695	0	0.736	0.765
H5	0.884	0.897	0.892	0.890	0.889	0.912	0.942	0.960	0.936	0.903	0.943	0.951	0.629	0.628	0.592	0.736	0	0.554
H6	0.867	0.890	0.876	0.869	0.865	0.917	0.926	0.972	0.925	0.899	0.956	0.942	0.592	0.542	0.546	0.765	0.554	0
