PathwayL2	KO	C1	C2
 sorting and degradation	K00850K01689K00937K03076K03073K03217K03070K03106K03110K03116K03118K03100K03101K04079K00566K00962K11927K03628K18682K04043K04077K03666	164.11221789180001	44.7203712163
Aging	K00799K04043K04077K04565K01358K03695	44.576792334800004	28.7553976277
Amino acid metabolism	K01834K00382K00382K00382K00382K00016K00121K00128K00128K00128K00128K00128K00820K01966K00600K00283K01692K01692K01692K01692K00074K00135K00135K00135K01703K01704K00831K00831K00260K00260K01738K10764K17217K17217K00632K17103K01756K01939K01955K01956K00609K00812K00812K00812K00812K00812K00812K00812K01424K01755K01755K01425K01425K12524K12524K12524K00133K00133K00133K02204K00643K01752K01752K01754K01754K01696K01696K00549K00789K00558K07173K08968K01761K00674K01586K01928K01929K01843K01844K18011K18012K18013K18014K00930K01585K10536K00657K00472K02502K01468K01479K01668K00055K00055K03782K03782K03786K00014K00891K00800K01657K01817K06209K00220	399.2190831509	365.1315978265
Biosynthesis of other secondary metabolites	K00845K00845K05349K05350K01703K01092K00955K02078K00812K00812K00812K12524K00133K03782K01657K00220K00973K00973K01710K01710K01434K17836	75.797479925	105.189094992
Cancer: overview	K00850K01834K00016K00121K01425K01425K00558K00799K00799K03685K04079	56.682270909500005	65.1625951776
Cancer: specific types	K00799K04079	5.2089323226	12.0853535596
Carbohydrate metabolism	K00845K00845K00845K00845K01810K01810K01810K01810K13810K13810K13810K13810K00850K00850K00850K00850K03841K03841K03841K02446K02446K02446K01623K01623K01623K11645K11645K11645K01624K01624K01624K01803K01803K01803K00134K00927K01834K01689K00382K00382K00382K00382K00382K03737K03737K03737K03737K00016K00016K00016K00121K00128K00128K00128K01610K01610K01610K01647K01647K01681K01681K01903K01903K01903K00239K00239K00240K00240K01057K01807K01619K00948K01184K03078K03078K00854K13877K13877K01809K01809K01840K01840K00971K00971K01711K01711K21883K00882K00849K00849K01190K00035K01187K01187K08679K08679K01706K01708K05349K05350K01179K00975K00975K00703K00700K21574K00697K01207K12373K07106K04042K00790K03431K00820K00925K00925K01962K01962K01961K01961K01963K01963K00101K00467K03778K03777K01759K01069K00029K01595K01638K01638K01637K01966K01966K19268K19268K00600K00283K01433K01692K01692K00074K07516K03821K00135K00019K18009K01703K01704K01092	668.9618796977	473.4555805693
Cardiovascular disease	K00799K04079	5.2089323226	12.0853535596
Cell growth and death	K01897K00657K02563K04079K13588K05770K13583K01338K03590K03588K06985K11749K03544K01358K13590K03386	72.0130766	56.744822483600004
Cell motility	K10540K00575K03406K03408K03413K03412K03409K02416K02416K02557K02557K02411K02419K02420K02386K02394K02395	31.253967691299998	121.0263280392
Cellular community - prokaryotes	K00975K00703K01897K07173K07173K07173K01657K01657K03076K03073K03217K03070K03106K03110K03666K03666K01997K15581K02452K02454K07667K03566	110.57752863099999	72.5366014988
Digestive system	K05770	0.0	6.1898445737
Drug resistance: antimicrobial	K01207K01929K01775K01921K00677K01000K02563K05366K05515K17836K15581K08218	56.9251974123	39.0490083232
Drug resistance: antineoplastic	K00600K00602K00799	7.0671378092	16.764942238899998
Endocrine and metabolic disease	K00820K04077	6.3145809414	6.4741915335
Endocrine system	K00850K00850K03841K03841K01834K00016K00029K01897K01897K00864K00432K04079K04079K07192K01322	106.7888737466	27.2554816048
Energy metabolism	K00850K03841K03841K02446K02446K01623K01623K11645K11645K01624K01624K01803K00134K00927K01834K01689K03737K00121K01610K01681K01903K00239K00239K00240K00240K01807K00925K00925K01962K01961K01963K00029K01595K01595K01595K00600K00337K00339K00340K00341K00343K02257K02276K02275K02299K02111K02111K02112K02112K02115K02115K02113K02113K02110K02110K02118K02119K00937K01938K01491K01070K00831K05601K00459K00260K01673K00955K00381K01738K10764K17217K17228	375.5018365839	251.6810127622
Environmental adaptation	K02257K01897K00864K04079K02358	27.2877601331	17.5343647578
Excretory system	K01425	8.5889570552	0.0
Folding	K00850K01689K00937K03076K03073K03217K03070K03106K03110K03116K03118K03100K03101K04079K00566K00962K11927K03628K18682K04043K04077K03666	164.11221789180001	44.7203712163
