# Pathway HUMAnN v4.0.0.alpha.1	C1	C2	C3	Y1	Y2	Y3
UNMAPPED	360754.9878635501	356867.5078253668	337292.0869814706	242622.5938820154	321963.8330633802	324358.7079910731
UNINTEGRATED	769914.0653975857	742066.5855800115	724783.3196403882	660723.5077335796	548740.0431367898	592977.4165555796
UNINTEGRATED|s__Akkermansia_muciniphila.t__SGB9226	0	7508.5049971378	33713.4057219562	0	0	0
UNINTEGRATED|s__Alistipes_communis.t__SGB2290	0	5302.6459558027	9531.0976586428	0	0	0
UNINTEGRATED|s__Alistipes_finegoldii.t__SGB2301	0	0	3082.8492240469	0	0	0
UNINTEGRATED|s__Alistipes_onderdonkii.t__SGB2303	6946.9986312978	0	48005.4492831905	0	0	0
UNINTEGRATED|s__Alistipes_putredinis.t__SGB2318	0	0	24840.6384827568	0	0	0
UNINTEGRATED|s__Alistipes_shahii.t__SGB2295	0	4452.9484037869	18301.7031847068	0	0	0
UNINTEGRATED|s__Anaerobutyricum_hallii.t__SGB4532	0	0	0	48711.9184181884	38225.1652625013	45826.3672368997
UNINTEGRATED|s__Anaerostipes_hadrus.t__SGB4540_group	0	0	0	63842.2487981641	11599.3900838908	5965.3895555390
UNINTEGRATED|s__Bacteroides_stercoris.t__SGB1830	0	0	7205.9098442026	0	0	0
UNINTEGRATED|s__Bacteroides_uniformis.t__SGB1836	0	5987.1649712424	22716.3656570204	0	0	0
UNINTEGRATED|s__Bifidobacterium_longum.t__SGB17248	0	0	0	14230.9031881541	0	2643.7853324846
UNINTEGRATED|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	0	0	0	0	0	120950.0552694976
UNINTEGRATED|s__Blautia_faecis.t__SGB4820	0	0	0	26717.9898917801	12179.2816177068	12607.8975011179
UNINTEGRATED|s__Blautia_massiliensis.t__SGB4826	0	0	0	23989.6034781435	12023.7935271549	0
UNINTEGRATED|s__Blautia_obeum.t__SGB4811	0	0	0	38324.6207281421	34486.0604777247	0
UNINTEGRATED|s__Blautia_sp_MSK_20_85.t__SGB4828	0	0	0	0	7651.2102292451	0
UNINTEGRATED|s__Blautia_wexlerae.t__SGB4831	0	0	0	0	6227.4213861320	0
