# Pathway HUMAnN v4.0.0.alpha.1	C1	C2	C3	Y1	Y2	Y3
UNINTEGRATED|s__Akkermansia_muciniphila.t__SGB9226	0	0.00622376	0.0290159	0	0	0
UNINTEGRATED|s__Alistipes_communis.t__SGB2290	0	0.00439534	0.00820306	0	0	0
UNINTEGRATED|s__Alistipes_finegoldii.t__SGB2301	0	0	0.00265329	0	0	0
UNINTEGRATED|s__Alistipes_onderdonkii.t__SGB2303	0.00551619	0	0.0413165	0	0	0
UNINTEGRATED|s__Alistipes_putredinis.t__SGB2318	0	0	0.0213794	0	0	0
UNINTEGRATED|s__Alistipes_shahii.t__SGB2295	0	0.00369103	0.0157516	0	0	0
UNINTEGRATED|s__Anaerobutyricum_hallii.t__SGB4532	0	0	0	0.0496766	0.0402164	0.0459163
UNINTEGRATED|s__Anaerostipes_hadrus.t__SGB4540_group	0	0	0	0.0651066	0.0122036	0.0059771
UNINTEGRATED|s__Bacteroides_stercoris.t__SGB1830	0	0	0.00620186	0	0	0
UNINTEGRATED|s__Bacteroides_uniformis.t__SGB1836	0	0.00496273	0.0195511	0	0	0
UNINTEGRATED|s__Bifidobacterium_longum.t__SGB17248	0	0	0	0.0145127	0	0.00264897
UNINTEGRATED|s__Bifidobacterium_pseudocatenulatum.t__SGB17237	0	0	0	0	0	0.121187
UNINTEGRATED|s__Blautia_faecis.t__SGB4820	0	0	0	0.0272471	0.0128137	0.0126326
UNINTEGRATED|s__Blautia_massiliensis.t__SGB4826	0	0	0	0.0244647	0.0126501	0
UNINTEGRATED|s__Blautia_obeum.t__SGB4811	0	0	0	0.0390836	0.0362825	0
UNINTEGRATED|s__Blautia_sp_MSK_20_85.t__SGB4828	0	0	0	0	0.00804978	0
UNINTEGRATED|s__Blautia_wexlerae.t__SGB4831	0	0	0	0	0.00655182	0
UNINTEGRATED|s__Blautia_wexlerae.t__SGB4837	0	0	0	0.12349	0.0232916	0.0837012
UNINTEGRATED|s__Candidatus_Cibionibacter_quicibialis.t__SGB15286	0	0	0.00149777	0	0	0
UNINTEGRATED|s__Cloacibacillus_porcorum.t__SGB15507	0	0.00524959	0	0	0	0
UNINTEGRATED|s__Clostridiaceae_bacterium_Marseille_Q4149.t__SGB15091	0.0332827	0.00517868	0	0	0	0
UNINTEGRATED|s__Collinsella_aerofaciens.t__SGB14535_group	0	0	0	0	0.0376065	0.0227475
UNINTEGRATED|s__Collinsella_intestinalis.t__SGB14741	0	0	0	0.0196599	0	0
UNINTEGRATED|s__Comamonas_kerstersii.t__SGB12676	0.0688652	0	0.0177331	0	0	0
UNINTEGRATED|s__Coprococcus_comes.t__SGB4577	0	0	0	0	0.0240561	0
UNINTEGRATED|s__Desulfovibrio_piger.t__SGB15467	0.00330138	0	0	0	0	0
UNINTEGRATED|s__Dorea_formicigenerans.t__SGB4575	0	0	0	0	0.0229101	0
UNINTEGRATED|s__Dorea_longicatena.t__SGB4582	0	0	0	0.01734	0.0331603	0.00723654
UNINTEGRATED|s__Dorea_sp_AF24_7LB.t__SGB4571	0	0	0	0	0.0223605	0
UNINTEGRATED|s__Eggerthella_lenta.t__SGB14809	0	0	0	0	0	0.00708935
UNINTEGRATED|s__Escherichia_coli.t__SGB10068	0	0	0.0942067	0	0	0
UNINTEGRATED|s__Eubacterium_rectale.t__SGB4933	0	0	0	0	0.00776207	0
UNINTEGRATED|s__Faecalibacillus_faecis.t__SGB6750	0	0	0	0	0.00875899	0
UNINTEGRATED|s__Faecalibacillus_intestinalis.t__SGB6754	0	0	0	0.026913	0	0.00989713
UNINTEGRATED|s__Faecalibacterium_SGB15346.t__SGB15346	0	0.00216733	0	0	0	0
UNINTEGRATED|s__Faecalibacterium_prausnitzii.t__SGB15316	0	0	0	0	0	0.00515937
UNINTEGRATED|s__Faecalibacterium_prausnitzii.t__SGB15318	0	0.00587798	0	0	0.00292844	0
UNINTEGRATED|s__Faecalibacterium_prausnitzii.t__SGB15323	0	0	0	0	0.00271435	0
UNINTEGRATED|s__Faecalicatena_fissicatena.t__SGB4871	0	0	0	0	0.0130566	0
UNINTEGRATED|s__Fusicatenibacter_saccharivorans.t__SGB4874	0	0	0	0	0.00577072	0.0406744
UNINTEGRATED|s__GGB1405_SGB1928.t__SGB1928	0	0.00682856	0	0	0	0
UNINTEGRATED|s__GGB3256_SGB4303.t__SGB4303	0	0	0	0	0.00917727	0.00359747
UNINTEGRATED|s__GGB3304_SGB4365.t__SGB4365	0.0130033	0	0	0	0	0
UNINTEGRATED|s__GGB3304_SGB4367.t__SGB4367	0	0	0.00507857	0	0	0
UNINTEGRATED|s__GGB3653_SGB4964.t__SGB4964	0	0	0	0	0.00561837	0
UNINTEGRATED|s__GGB4569_SGB6312.t__SGB6312	0	0.0161863	0	0	0	0
UNINTEGRATED|s__GGB51647_SGB4348.t__SGB4348	0	0	0.00381807	0	0	0
UNINTEGRATED|s__GGB6648_SGB9389.t__SGB9389	0	0	0.00360628	0	0	0
UNINTEGRATED|s__GGB9059_SGB13976.t__SGB13976	0	0.0226848	0	0	0	0
UNINTEGRATED|s__GGB9342_SGB14306.t__SGB14306	0.00202283	0.0057382	0.0162879	0	0	0
UNINTEGRATED|s__GGB9345_SGB14311.t__SGB14311	0	0.00854936	0	0	0	0
UNINTEGRATED|s__GGB9347_SGB14313.t__SGB14313	0.0042333	0	0	0	0	0
UNINTEGRATED|s__GGB9350_SGB14317.t__SGB14317	0	0.00415185	0	0	0	0
