Phylum	C2	C3	Y1	Y2	Y3
Bacillota	48632	55678	600254	448523	340933
Bacteroidota	71459	255002	862	16402	21819
Actinomycetota	2423	9610	34041	57354	197849
Pseudomonadota	54765	59712	533	1033	2414
Verrucomicrobiota	12927	49995	86	23	30
Synergistota	27418	869	4	19	8
Thermodesulfobacteriota	4753	6234	37	698	552
Uroviricota	795	26	36	372	4250
Chordata	110	35	984	1247	1601
Candidatus_Saccharimonadota	5	91	541	439	322
Methanobacteriota	700	102	23	50	23
Campylobacterota	131	21	404	139	138
Spirochaetota	107	54	31	67	72
Fusobacteriota	61	1	93	46	66
Planctomycetota	100	69	28	27	41
Chloroflexota	86	108	16	27	15
Cyanobacteriota	57	59	25	59	29
Ascomycota	34	56	19	51	35
Myxococcota	99	61	12	14	6
Mycoplasmatota	117	8	15	23	19
Acidobacteriota	47	59	17	9	13
Deinococcota	58	40	7	11	7
Gemmatimonadota	32	14	12	5	9
Chlorobiota	26	12	1	7	9
Candidatus_Cloacimonadota	48	6	0	0	0
Basidiomycota	21	8	5	7	10
Nitrospirota	17	13	0	5	0
Bdellovibrionota	5	9	4	5	11
Rhodothermota	14	7	10	1	0
unclassified	5	2	5	2	11
Armatimonadota	18	6	0	0	0
Thermotogota	16	1	2	0	5
Thermoproteota	7	1	8	6	1
Kiritimatiellota	9	11	0	2	0
Aquificota	1	4	4	6	5
Euglenozoa	0	4	8	2	6
Mucoromycota	6	0	2	6	6
Deferribacterota	4	5	2	4	3
Apicomplexa	4	1	1	6	2
Fibrobacterota	0	12	1	1	0
Candidatus_Bipolaricaulota	12	0	0	0	0
Chrysiogenota	9	0	0	2	0
Parabasalia	1	0	3	6	1
Thermomicrobiota	3	8	0	0	0
Elusimicrobiota	8	0	1	1	0
Thermoplasmatota	2	1	2	0	5
Candidatus_Omnitrophota	9	0	0	0	0
Chlamydiota	0	0	6	1	0
Nitrososphaerota	0	3	1	2	0
Candidatus_Absconditibacteriota	0	0	0	0	5
Bacillariophyta	1	0	2	0	1
Calditrichota	2	1	0	0	0
Fidelibacterota	1	0	0	1	1
Ignavibacteriota	0	2	1	0	0
Nitrospinota	0	3	0	0	0
Cossaviricota	0	0	0	1	0
Fornicata	0	0	0	1	0
Lenarviricota	0	1	0	0	0
Nanobdellota	0	0	1	0	0
Negarnaviricota	0	1	0	0	0
Thermodesulfobiota	0	0	1	0	0
Vulcanimicrobiota	0	1	0	0	0
Atribacterota	0	0	0	0	0
