Taxonomy	C1	C2
Aalivirus A	0	0
Abaca bunchy top virus	0	0
Abalone shriveling syndrome-associated virus	0	0
Abelson murine leukemia virus	0	0
Abiotrophia defectiva	3	0
Abisko virus	0	0
Abutilon Brazil virus	0	0
Abutilon golden mosaic virus	0	0
Abutilon mosaic Bolivia virus	0	0
Abutilon mosaic Brazil virus	0	0
Abutilon mosaic virus	0	0
Acanthamoeba polyphaga mimivirus	0	0
Acanthocystis turfacea chlorella virus 1	0	0
Acartia tonsa copepod circovirus	0	0
Acaryochloris marina	0	0
Acerodon celebensis polyomavirus 1	0	0
Acerodon celebensis polyomavirus 2	0	0
Acetilactobacillus jinshanensis	0	0
Acetoanaerobium sticklandii	2	0
Acetobacter aceti	0	0
Acetobacter ascendens	0	0
Acetobacter estunensis	0	0
Acetobacter ghanensis	0	0
Acetobacterium sp. KB-1	0	0
Acetobacterium woodii	0	0
Acetobacter orientalis	0	0
Acetobacter oryzifermentans	0	0
Acetobacter oryzoeni	0	0
Acetobacter pasteurianus	0	0
Acetobacter persici	0	0
Acetobacter pomorum	0	0
Acetobacter senegalensis	0	0
Acetobacter sp. JWB	0	0
Acetobacter sp. KACC 21233	0	0
Acetobacter tropicalis	0	0
Acetohalobium arabaticum	0	0
Acetomicrobium mobile	0	0
Acheta domesticus volvovirus	0	0
Achimota pararubulavirus 1	0	0
Achimota pararubulavirus 2	0	0
Acholeplasma axanthum	0	0
Acholeplasma brassicae	0	0
Acholeplasma hippikon	0	0
Acholeplasma laidlawii	0	0
Acholeplasma oculi	0	0
Acholeplasma palmae	1	0
Acholeplasma virus L2	0	0
Acholeplasma virus L51	0	0
Achromobacter denitrificans	0	0
Achromobacter insolitus	0	0
Achromobacter pestifer	0	0
Achromobacter phage JWF	0	0
Achromobacter phage Motura	0	0
Achromobacter phage phiAxp-1	0	0
Achromobacter phage phiAxp-2	0	0
Achromobacter ruhlandii	0	0
Achromobacter spanius	0	0
Achromobacter sp. AONIH1	0	0
Achromobacter sp. B7	0	0
Achromobacter sp. LM16	0	0
Achromobacter sp. MFA1 R4	0	0
Achromobacter virus 83-24	0	0
Achromobacter virus Axp3	0	0
Achromobacter virus JWAlpha	0	0
Achromobacter virus JWX	0	0
Achromobacter xylosoxidans	0	0
Acidaminococcus fermentans	0	0
Acidaminococcus intestini	0	0
Acidianus ambivalens	0	0
Acidianus bottle-shaped virus 2	0	0
