Phylum	C1	C2	C3	Y1	Y2	Y3
Bacillota	70468	48632	55678	600254	448523	340933
Bacteroidota	25772	71459	255002	862	16402	21819
Actinomycetota	6397	2423	9610	34041	57354	197849
Pseudomonadota	137520	54765	59712	533	1033	2414
Verrucomicrobiota	2624	12927	49995	86	23	30
Synergistota	911	27418	869	4	19	8
Thermodesulfobacteriota	9853	4753	6234	37	698	552
Uroviricota	11	795	26	36	372	4250
Chordata	150	110	35	984	1247	1601
Candidatus_Saccharimonadota	42	5	91	541	439	322
Methanobacteriota	298	700	102	23	50	23
Campylobacterota	65	131	21	404	139	138
Planctomycetota	144	100	69	28	27	41
Spirochaetota	66	107	54	31	67	72
Chloroflexota	41	86	108	16	27	15
Cyanobacteriota	59	57	59	25	59	29
Fusobacteriota	2	61	1	93	46	66
Myxococcota	61	99	61	12	14	6
Ascomycota	22	34	56	19	51	35
Acidobacteriota	60	47	59	17	9	13
Deinococcota	81	58	40	7	11	7
Mycoplasmatota	9	117	8	15	23	19
Gemmatimonadota	32	32	14	12	5	9
Chlorobiota	27	26	12	1	7	9
Basidiomycota	19	21	8	5	7	10
Candidatus_Cloacimonadota	0	48	6	0	0	0
unclassified	16	5	2	5	2	11
Nitrospirota	4	17	13	0	5	0
Rhodothermota	5	14	7	10	1	0
Bdellovibrionota	2	5	9	4	5	11
Thermotogota	6	16	1	2	0	5
Armatimonadota	5	18	6	0	0	0
Kiritimatiellota	7	9	11	0	2	0
Thermoproteota	3	7	1	8	6	1
Aquificota	3	1	4	4	6	5
Euglenozoa	1	0	4	8	2	6
Mucoromycota	0	6	0	2	6	6
Deferribacterota	1	4	5	2	4	3
Apicomplexa	4	4	1	1	6	2
Fibrobacterota	2	0	12	1	1	0
Thermomicrobiota	5	3	8	0	0	0
Elusimicrobiota	5	8	0	1	1	0
Chrysiogenota	2	9	0	0	2	0
Candidatus_Bipolaricaulota	0	12	0	0	0	0
Candidatus_Omnitrophota	3	9	0	0	0	0
Parabasalia	0	1	0	3	6	1
Thermoplasmatota	1	2	1	2	0	5
Chlamydiota	0	0	0	6	1	0
Atribacterota	6	0	0	0	0	0
Nitrososphaerota	0	0	3	1	2	0
Candidatus_Absconditibacteriota	0	0	0	0	0	5
Bacillariophyta	0	1	0	2	0	1
Fidelibacterota	1	1	0	0	1	1
Nitrospinota	1	0	3	0	0	0
Vulcanimicrobiota	3	0	1	0	0	0
Calditrichota	0	2	1	0	0	0
Ignavibacteriota	0	0	2	1	0	0
Cossaviricota	0	0	0	0	1	0
Fornicata	0	0	0	0	1	0
Lenarviricota	0	0	1	0	0	0
Nanobdellota	0	0	0	1	0	0
Negarnaviricota	0	0	1	0	0	0
Thermodesulfobiota	0	0	0	1	0	0
