Species	C1	C2	C3	Y1	Y2	Y3
Blautia_wexlerae	80	262	128	209340	42752	126576
Anaerobutyricum_hallii	14	9	73	43414	47645	52235
Bifidobacterium_pseudocatenulatum	0	3	37	56	14	131424
Blautia_obeum	193	107	433	48494	61924	18411
Anaerostipes_hadrus	17	15	47	89340	17387	6930
Comamonas_kerstersii	80009	0	21299	0	2	0
Alistipes_onderdonkii	9250	455	83301	4	6	413
Klebsiella_pneumoniae	46472	44212	125	2	12	106
Dorea_longicatena	35	15	163	27731	51702	10253
Mediterraneibacter_gnavus	327	856	367	58764	10583	13626
Collinsella_aerofaciens	1476	142	4052	324	46871	30301
Akkermansia_muciniphila	2210	12875	49903	76	18	6
[Ruminococcus]_torques	151	45	202	1200	46115	8518
Faecalibacillus_intestinalis	3	17	53	31800	8526	15744
Blautia_sp._SC05B48	12	30	120	25900	15307	1454
Alistipes_shahii	4783	8945	28324	4	233	274
Bacteroides_uniformis	301	8112	29941	45	142	3893
Alistipes_putredinis	740	4427	31709	0	87	1628
Escherichia_coli	2466	147	32696	19	83	1459
Faecalibacterium_prausnitzii	3045	8114	4243	1155	10066	9705
Alistipes_communis	2773	10573	19753	0	150	99
Ruthenibacterium_lactatiformans	21334	6972	3430	28	433	901
Dorea_formicigenerans	24	12	100	2718	25637	3910
Vescimonas_coprocola	10931	3918	15772	97	378	153
Blautia_luti	39	51	110	12943	7508	9243
Coprococcus_comes	38	9	40	936	26409	689
Bifidobacterium_longum	29	46	398	19823	50	6921
Phocaeicola_vulgatus	139	16177	7107	122	640	945
Streptococcus_salivarius	1	0	10	8350	11933	3375
Pyramidobacter_piscolens	28	19727	19	0	0	0
Roseburia_faecis	31	3002	220	706	997	13304
Desulfovibrio_piger	8762	3546	4740	1	557	327
Bacteroides_stercoris	5	1081	13222	1	46	2469
Eggerthella_lenta	859	22	207	5880	363	7557
Parabacteroides_merdae	174	1383	9951	79	634	952
Vescimonas_fastidiosa	8021	2997	1257	38	198	83
Agathobacter_rectalis	136	159	314	953	9513	1245
[Ruminococcus]_lactaris	88	108	76	244	3470	7331
Alistipes_finegoldii	2047	332	8158	1	12	70
Adlercreutzia_equolifaciens	145	14	1272	8	45	7075
Cloacibacillus_porcorum	796	7370	18	1	1	1
Collinsella_sp._i05-0019-G5	117	8	424	35	4178	2740
Intestinimonas_butyriciproducens	3410	2406	1374	39	68	59
Parabacteroides_distasonis	53	3250	3534	38	168	244
Coprococcus_catus	119	55	123	831	5291	597
Klebsiella_quasipneumoniae	789	6201	22	0	0	0
Alistipes_sp._dk3624	5	2276	4283	0	292	0
Flavonifractor_plautii	1871	1388	1702	198	225	416
Ruminococcus_sp._SR1/5	9	2	22	2369	2733	596
Clostridioides_difficile	1092	1917	168	1103	408	945
Roseburia_hominis	259	181	907	666	3152	430
Parabacteroides_goldsteinii	15	502	306	3	136	4291
Alistipes_senegalensis	731	2224	2075	0	6	118
[Clostridium]_scindens	69	61	349	1070	1109	2238
Hungatella_hathewayi	3884	102	227	116	114	287
Bacteroides_eggerthii	60	368	173	200	3822	97
Clostridium_perfringens	6	5	4	63	4411	71
Bacteroides_fragilis	2696	197	350	10	44	1231
Ruminococcus_callidus	31	16	4205	23	60	130
Barnesiella_intestinihominis	54	39	2956	0	701	468
Homo_sapiens	150	110	35	984	1247	1601
Faecalimonas_umbilicata	0	19	4	3307	257	358
Alistipes_ihumii	105	1113	2480	0	48	0
Odoribacter_splanchnicus	83	2966	501	0	45	94
Wujia_chipingensis	31	26	397	108	2805	249
Simiaoa_sunii	100	132	144	510	1175	1502
Carjivirus_communis	0	0	0	0	0	3556
Anaerotruncus_colihominis	202	763	1780	78	175	276
