Taxonomy	C1	C2	C3	Y1	Y2	Y3
s__Escherichia_coli	0.51707	0.00000	4.72198	0.00000	0.00000	0.52827
s__Alistipes_shahii	0.57260	1.08738	3.54556	0.00000	0.00000	0.00000
s__Alistipes_finegoldii	0.13472	0.00000	0.70379	0.00000	0.00000	0.00000
s__Candidatus_Cibionibacter_quicibialis	0.21213	0.00000	0.64560	0.35492	0.00000	0.00000
s__GGB9787_SGB15410	0.02111	0.00000	0.00000	0.00000	0.00000	0.00000
s__GGB34228_SGB72916	0.02326	0.00000	0.00000	0.00000	0.00000	0.00000
s__GGB9713_SGB15249	0.68506	0.53055	0.00000	0.00000	0.00000	0.00000
s__GGB3345_SGB4425	0.00000	0.00000	0.00000	0.00000	0.00000	0.08388
s__Klebsiella_pneumoniae	21.56340	19.16517	0.00000	0.00000	0.00000	0.00000
s__Alistipes_indistinctus	0.00000	0.01515	0.00000	0.00000	0.00000	0.00000
s__Parabacteroides_bouchesdurhonensis	0.00000	0.00418	0.00000	0.00000	0.00000	0.00000
s__Coprococcus_comes	0.00000	0.00000	0.00000	0.00000	4.37449	0.00000
s__Mediterraneibacter_sp_gm002	0.00000	0.00000	0.00000	0.00000	0.38213	0.00000
s__GGB34797_SGB14321	0.00000	0.00000	0.00000	0.00000	0.11537	0.00000
s__GGB9530_SGB14930	0.00000	0.00000	0.00720	0.00000	0.00000	0.00000
s__Phocaeicola_dorei	0.00000	0.00000	0.00000	0.00000	0.00244	0.00000
s__Faecalibacillus_intestinalis	0.00000	0.00000	0.00000	4.57732	0.70605	2.49648
s__Blautia_sp_MSK_20_85	0.00000	0.00000	0.00000	0.00000	1.09199	0.00000
s__Butyricicoccus_SGB14990	0.00000	0.00000	0.01003	0.00000	0.00000	0.00000
s__Barnesiella_intestinihominis	0.00000	0.00000	0.08277	0.00000	0.00000	0.00000
s__Weissella_confusa	0.00000	0.00000	0.00000	0.00000	0.00000	0.07223
s__GGB35068_SGB47850	0.00000	0.00000	0.00000	0.00000	0.06180	0.00000
s__Clostridiaceae_bacterium_Marseille_Q4149	34.00330	4.44762	0.00000	0.00000	0.00000	0.00000
s__Dorea_sp_AF24_7LB	0.00000	0.00000	0.00000	0.00000	2.69215	0.00000
s__Bacteroides_fragilis	0.05239	0.16149	0.00000	0.00000	0.00000	0.00000
s__Intestinimonas_gabonensis	0.00000	0.02162	0.00000	0.00000	0.00000	0.00000
s__Eubacterium_ramulus	0.00000	0.00000	0.00000	0.00000	0.51981	0.08508
s__Roseburia_faecis	0.00000	0.20586	0.00000	0.00000	0.00000	1.93752
s__Prevotellamassilia_timonensis	0.00000	0.00636	0.00000	0.00000	0.00000	0.00000
s__Streptococcus_salivarius	0.00000	0.00000	0.00000	2.42640	3.58821	0.72960
s__Odoribacter_splanchnicus	0.00000	0.05132	0.00000	0.00000	0.00000	0.00000
s__Ligilactobacillus_salivarius	0.00000	0.00000	0.00000	0.06530	0.00000	0.00000
s__GGB9786_SGB15409	0.19673	0.00000	0.00000	0.00000	0.00000	0.00000
s__Ruminococcus_sp_AF41_9	0.00000	0.00000	0.00000	0.00000	2.52300	0.00000
s__Kluyvera_genomosp_3	0.00000	0.00000	0.13929	0.00000	0.00000	0.00000
s__Clostridiales_bacterium_KLE1615	0.00000	0.00000	0.00000	0.10906	0.00000	0.00000
s__Mogibacterium_sp_BX12	0.00000	0.00000	0.00000	0.00000	0.38911	0.01974
s__GGB4386_SGB6036	0.00000	0.00000	0.00000	0.00600	0.00000	0.00000
s__GGB45495_SGB63167	0.00000	0.05792	0.00000	0.00000	0.00000	0.00000
s__Akkermansia_muciniphila	0.09852	1.40154	6.82174	0.00000	0.00000	0.00000
s__GGB9699_SGB15216	0.00000	0.00000	0.83216	0.00000	0.00000	0.00000
s__Intestinimonas_massiliensis	0.88122	1.09338	0.00000	0.00000	0.00000	0.00000
s__Clostridium_perfringens	0.00000	0.00000	0.00000	0.00000	0.54370	0.00000
s__Ruminococcus_bicirculans	0.00000	0.00000	0.00000	0.00000	0.00630	0.00000
s__Cloacibacillus_SGB15503	0.31853	0.00000	0.06043	0.00000	0.00000	0.00000
s__Faecalimonas_umbilicata	0.00000	0.00000	0.00000	0.34891	0.00000	0.00000
s__Alistipes_sp_AF17_16	0.00000	0.21470	0.59615	0.00000	0.00000	0.00000
s__Ruminococcus_torques	0.00000	0.00000	0.00000	0.00000	9.25556	1.07327
