Taxonomy	C1	C2	C3	Y1	Y2	Y3
t__SGB7088_group	0.00000	0.00000	0.00000	0.00000	0.14183	0.00000
t__SGB6421	0.00000	0.00000	0.00000	0.00000	0.15565	0.00000
t__SGB4936	0.00000	0.00000	0.00000	0.00000	0.18271	0.00000
t__SGB4035	0.00000	0.00000	0.00000	0.02046	0.00000	0.00000
t__SGB15291	0.00000	0.03323	0.23938	0.00000	0.05614	0.00000
t__SGB4262	0.00000	0.00000	0.00000	0.00000	0.00630	0.00000
t__SGB1814	0.00000	0.90114	0.26364	0.00000	0.00000	0.00000
t__SGB1600	0.00000	0.00000	0.00506	0.00000	0.00000	0.00000
t__SGB1815	0.00000	0.00000	0.00000	0.00000	0.00244	0.00000
t__SGB6191	0.00000	0.00000	0.00000	0.00000	0.54370	0.00000
t__SGB72480	0.03381	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB1830	0.00000	0.00000	1.63767	0.00000	0.00000	0.18539
t__SGB2181	0.47557	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB15295	0.20503	0.00000	1.89479	0.00000	0.00000	2.57314
t__SGB1798	0.00000	0.00000	0.00000	0.00000	0.13426	0.00000
t__SGB4053	0.78476	0.00000	0.07132	0.00000	0.00000	0.00000
t__SGB15316	0.00000	0.28285	0.00000	0.00000	0.00000	1.22006
t__SGB4741	0.07874	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB1585	0.00000	0.00000	0.05247	0.00000	0.00000	0.00000
t__SGB15317	0.00000	0.07269	0.00000	0.00000	0.00000	0.00000
t__SGB15103	0.00000	1.55016	0.00000	0.00000	0.00000	0.00000
t__SGB4269	0.00000	0.00000	0.00000	0.22773	0.26997	0.00000
t__SGB15318	0.00000	1.50546	0.00000	0.00000	0.79061	0.00000
t__SGB14960	0.00000	0.09258	0.00000	0.00000	0.00000	0.00000
t__SGB4303	0.00000	0.00000	0.00000	0.00000	3.99778	1.64352
t__SGB15106	0.00000	2.81845	0.00000	0.00000	0.00000	0.00000
t__SGB4531	0.00000	0.00000	0.00000	0.00000	0.00000	0.13164
t__SGB1836	0.00000	0.66584	1.97447	0.00000	0.00000	0.41267
t__SGB15107	0.00000	3.89013	0.00000	0.00000	0.00000	0.00000
t__SGB4285	0.00000	0.00000	0.00000	0.00000	0.00000	0.38613
t__SGB15120	0.00000	0.00000	0.08745	0.00000	0.55512	0.00000
t__SGB4532	0.00000	0.00000	0.00000	6.60396	6.88773	8.46015
t__SGB15087	0.17831	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB35190	0.00000	0.00347	0.00000	0.00000	0.00000	0.00000
t__SGB15089	0.00000	0.00000	2.99551	0.00000	0.00000	0.00000
t__SGB14311	0.64392	3.02363	0.00000	0.00000	0.00000	0.00000
t__SGB53706	0.34746	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB1853	0.00000	0.16149	0.00000	0.00000	0.00000	0.00000
t__SGB63167	0.00000	0.05792	0.00000	0.00000	0.00000	0.00000
t__SGB4289	0.00000	0.00000	0.00000	0.00000	0.00000	0.74343
t__SGB14754	0.00000	0.00000	0.00000	0.00000	0.00000	0.11885
t__SGB14313	1.14241	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB4537	0.00000	0.00000	0.00000	0.00000	0.31266	0.00000
t__SGB1855	0.05239	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB14969	0.00000	0.00000	0.00000	0.00000	0.18046	0.00000
t__SGB4540_group	0.00000	0.00000	0.00000	11.39813	2.06549	0.85472
t__SGB63183	0.00000	0.00000	0.00000	0.00000	0.00000	0.12409
t__SGB4552	0.00000	0.00000	0.00000	0.00000	0.44145	0.00000
t__SGB15127	0.44061	0.54669	0.00000	0.00000	0.00000	0.00000
t__SGB4780	0.00000	0.00000	0.00000	0.00000	0.05355	0.00000
t__SGB1871	0.00000	0.00000	0.00000	0.00000	0.01911	0.00000
t__SGB14317	0.04912	1.81223	0.00000	0.00000	0.00000	0.00000
t__SGB15356	0.89064	2.07780	0.00000	0.00000	0.00000	0.00000
t__SGB4781	0.00000	0.00000	0.00000	0.05682	0.48443	0.00000
t__SGB4328	0.00000	0.00000	0.08845	0.00000	0.00000	0.00000
t__SGB4782	0.00000	0.00000	0.00000	0.00000	0.10539	0.00000
t__SGB14824_group	0.08458	0.00000	0.00000	0.00000	0.23097	0.00000
t__SGB3958	0.00000	0.00000	0.00000	0.00000	0.08751	0.00000
t__SGB4557	0.00000	0.00000	0.00000	0.00000	0.40180	1.20185
t__SGB7082	0.00000	0.00000	0.00000	0.06530	0.00000	0.00000
t__SGB4571	0.00000	0.00000	0.00000	0.00000	2.69215	0.00000
t__SGB15374	0.38417	0.00000	1.60366	0.00000	0.00000	0.00000
t__SGB4820	0.00000	0.00000	0.00000	3.41249	2.01503	1.86993
t__SGB1891	0.00000	0.00000	0.00000	0.00000	0.00000	0.10813
t__SGB10112	0.00000	1.03413	0.00000	0.00000	0.00000	0.00000
t__SGB17248	0.00000	0.00000	0.00000	4.34703	0.00000	0.96813
t__SGB15390	0.12540	0.41261	0.00000	0.00000	0.00000	0.00000
t__SGB15410	0.02111	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB4348	0.00000	0.00000	1.58234	0.00000	0.00000	0.24884
t__SGB15377	0.07583	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB4575	0.00000	0.00000	0.00000	0.11182	4.03726	0.34233
t__SGB1666	0.00000	0.07516	0.00000	0.00000	0.00000	0.00000
t__SGB10114	0.32607	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB14794	0.27569	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB10115	21.56340	19.16517	0.00000	0.00000	0.00000	0.00000
t__SGB6750	0.00000	0.00000	0.00000	0.00000	1.03217	0.00000
t__SGB4577	0.00000	0.00000	0.00000	0.00000	4.37449	0.00000
t__SGB14795	0.00954	0.00000	0.15593	0.00000	0.70061	0.00000
t__SGB4365	5.15658	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB4826	0.00000	0.00000	0.00000	3.81896	2.00109	0.00000
t__SGB2301	0.13472	0.00000	0.70379	0.00000	0.00000	0.00000
t__SGB6312	0.00000	12.43187	0.00000	0.00000	0.00000	0.00000
t__SGB15201	0.13408	0.00000	0.00000	0.00000	0.00000	0.00000
t__SGB14798	0.00000	0.00000	0.17625	0.00000	0.00000	0.63560
t__SGB2302	0.00000	0.19083	0.00000	0.00000	0.00000	0.00000
t__SGB4367	0.00000	0.00000	1.48855	0.00000	0.05230	0.00000
t__SGB4828	0.00000	0.00000	0.00000	0.00000	1.09199	0.00000
t__SGB6754	0.00000	0.00000	0.00000	4.57732	0.70605	2.49648
t__SGB2303	1.30384	0.00000	9.80357	0.00000	0.00000	0.00000
t__SGB4829	0.00000	0.00000	0.00000	0.00000	0.09154	0.00000
