OTUID	All	Centenarians	Young
k__Bacteria	99.990357	 99.98071	100.00000
k__Bacteria|p__Firmicutes	70.383727	58.79321	81.97424
k__Bacteria|p__Firmicutes|c__Clostridia	57.25236	40.25229	74.25243
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	56.560655	39.12700	73.99431
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	30.842353	 0.06862	61.61609
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	19.954342	30.859490	 9.049193
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia	13.621477	 0.00000	27.24295
k__Bacteria|p__Proteobacteria	11.195332	22.21457	 0.17609
k__Bacteria|p__Actinobacteria	8.839138	 0.34304	17.33524
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae	8.532852	 0.0000	17.0657
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae|t__SGB4837	8.324075	 0.00000	16.64815
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	7.999228	15.82237	 0.17609
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	7.999228	15.82237	 0.17609
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	7.999228	15.82237	 0.17609
k__Bacteria|p__Bacteroidetes	7.554905	14.5973733	 0.5124367
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella	7.014795	14.02959	 0.00000
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	6.79548	13.0785233	 0.5124367
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	6.79548	13.0785233	 0.5124367
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	6.788095	13.57619	 0.00000
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__SGB10115	6.788095	13.57619	 0.00000
k__Bacteria|p__Actinobacteria|c__Actinomycetia	5.661297	 0.00000	11.32259
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	5.661297	 0.00000	11.32259
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	5.661297	 0.00000	11.32259
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	5.661297	 0.00000	11.32259
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	5.22359	10.37250333	 0.07467667
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	5.177718	10.28076000	 0.07467667
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	4.775438	0.000000	9.550877
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__SGB17237	4.775438	0.000000	9.550877
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9708	4.288213	8.576427	0.000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9708|s__GGB9708_SGB15234	4.288213	8.576427	0.000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9708|s__GGB9708_SGB15234|t__SGB15234	4.288213	8.576427	0.000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus	4.057132	0.2974267	7.8168367
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9715	3.894822	7.789643	0.000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9715|s__GGB9715_SGB15267	3.825217	7.650433	0.000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9715|s__GGB9715_SGB15267|t__SGB15267	3.825217	7.650433	0.000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum	3.71075	0.0000	7.4215
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii	3.65864	0.00000	7.31728
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii|t__SGB4532	3.65864	0.00000	7.31728
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea	3.610107	0.000000	7.220213
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	3.453998	6.4380800	0.4699167
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_AF13_28	3.422512	0.000000	6.845023
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_AF13_28|t__SGB4834	3.422512	0.000000	6.845023
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified	3.287193	6.408487	0.165900
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q4149	3.204243	6.408487	0.000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q4149|t__SGB15091	3.204243	6.408487	0.000000
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	3.158613	0.343040	5.974187
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter	3.104673	0.000000	6.209347
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2.906502	5.813003	0.000000
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2.906502	5.813003	0.000000
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	2.720735	5.44147	0.00000
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas	2.720735	5.44147	0.00000
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas_kerstersii	2.720735	5.44147	0.00000
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas_kerstersii|t__SGB12676	2.720735	5.44147	0.00000
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2.588247	0.1372367	5.0392567
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2.588247	0.1372367	5.0392567
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	2.530018	0.09777333	4.96226333
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes	2.38639	0.00000	4.77278
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	2.38639	0.00000	4.77278
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__SGB4540_group	2.38639	0.00000	4.77278
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum	2.341215	0.00000	4.68243
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	2.339272	0.000000	4.678543
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__SGB4582	2.339272	0.000000	4.678543
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum|t__SGB4811	2.20924	0.00000	4.41848
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634	2.198848	4.397697	0.000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634|s__GGB9634_SGB15095	2.176828	4.353657	0.000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634|s__GGB9634_SGB15095|t__SGB15095	2.176828	4.353657	0.000000
k__Bacteria|p__Firmicutes|c__CFGB1765	2.121735	4.14395667	0.09951333
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2.121735	4.14395667	0.09951333
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765	2.121735	4.14395667	0.09951333
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4569	2.071978	4.143957	0.000000
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4569|s__GGB4569_SGB6312	2.071978	4.143957	0.000000
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4569|s__GGB4569_SGB6312|t__SGB6312	2.071978	4.143957	0.000000
k__Bacteria|p__Firmicutes|c__CFGB73062	1.859655	3.71931	0.00000
k__Bacteria|p__Firmicutes|c__CFGB73062|o__OFGB73062	1.859655	3.71931	0.00000
k__Bacteria|p__Firmicutes|c__CFGB73062|o__OFGB73062|f__FGB73062	1.859655	3.71931	0.00000
k__Bacteria|p__Firmicutes|c__CFGB73062|o__OFGB73062|f__FGB73062|g__GGB9059	1.859655	3.71931	0.00000
k__Bacteria|p__Firmicutes|c__CFGB73062|o__OFGB73062|f__FGB73062|g__GGB9059|s__GGB9059_SGB13976	1.859655	3.71931	0.00000
k__Bacteria|p__Firmicutes|c__CFGB73062|o__OFGB73062|f__FGB73062|g__GGB9059|s__GGB9059_SGB13976|t__SGB13976	1.859655	3.71931	0.00000
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	1.851235	3.70247	0.00000
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii|t__SGB2303	1.851235	3.70247	0.00000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	1.82276	1.724407	1.921113
k__Bacteria|p__Firmicutes|c__CFGB2982	1.741413	3.482827	0.000000
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	1.741413	3.482827	0.000000
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982	1.741413	3.482827	0.000000
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342	1.741413	3.482827	0.000000
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342|s__GGB9342_SGB14306	1.741413	3.482827	0.000000
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342|s__GGB9342_SGB14306|t__SGB14306	1.741413	3.482827	0.000000
