Order	C1	C2	C3	Y1	Y2	Y3
o__Eubacteriales	89.97598	38.2558	51.35785	87.03069	90.67894	67.10805
o__Enterobacterales	22.40654	20.1993	4.86127	0	0	0.52827
o__Bacteroidales	2.4731	7.78486	28.97762	0	0.51221	1.02509
o__Bifidobacteriales	0	0	0	4.34703	0	29.62076
o__Burkholderiales	13.5242	0	3.91481	0	0	0
o__Coriobacteriales	0.13897	0	0.27274	5.97363	6.89335	2.25077
o__OFGB1765	0	12.43187	0	0	0.29854	0
unclassified	5.19116	4.22532	0.656	0	0	1.67784
o__OFGB73062	0	11.15793	0	0	0	0
o__OFGB2982	1.22691	1.81288	7.40869	0	0	0
o__Erysipelotrichales	0	0	0	4.67664	1.73822	2.49648
o__Verrucomicrobiales	0.09852	1.40154	6.82174	0	0	0
o__Lactobacillales	0	0	0	2.5195	3.836	0.80183
o__OFGB1354	5.15658	0	1.48855	0	0.0523	0
o__OFGB14936	0	0	0	0	3.99778	1.64352
o__Synergistales	0.31853	3.35052	0.06043	0	0	0
o__OFGB10477	0.64392	3.02363	0	0	0	0
o__Eggerthellales	0.28523	0	0.33218	0.52781	0.70061	1.57637
o__OFGB3062	0.89064	2.0778	0	0	0	0
o__OFGB2985	0.04912	1.81223	0	0	0	0
o__OFGB4806	0	0	1.58234	0	0	0.24884
o__Desulfovibrionales	1.17264	0.1661	0.39888	0	0	0
o__OFGB15209	0.38558	0	0.92083	0	0	0
o__Clostridiales	0.21213	0	0.6456	0.35492	0	0
o__OFGB1776	0	1.15745	0	0	0	0
o__OFGB2984	1.14241	0	0	0	0	0
o__OFGB3035	1.0595	0	0	0	0	0
o__OFGB1258	0.78476	0	0.07132	0	0	0
o__OFGB38642	0	0	0.79359	0	0	0
o__OFGB3069	0.27547	0.41261	0	0	0	0
o__OFGB3005	0.18043	0	0	0	0.46983	0
o__OFGB645	0.47557	0	0	0	0	0
o__OFGB529	0	0	0.339	0	0	0
o__OFGB9989	0.29625	0	0	0	0	0
o__OFGB45555	0.28256	0	0	0	0	0
o__OFGB3072	0.21784	0.05792	0	0	0	0
o__OFGB3048	0	0	0	0	0.2303	0
o__OFGB9120	0	0	0	0	0.15565	0
o__Acidaminococcales	0	0	0.14598	0	0	0
o__OFGB12107	0	0	0	0	0.11537	0
o__OFGB3043	0.09868	0	0	0	0	0
o__Veillonellales	0	0	0.08763	0	0	0
o__OFGB58251	0.07583	0	0	0	0	0
o__OFGB667	0	0	0.07443	0	0	0
o__Methanobacteriales	0	0.05786	0	0	0	0
o__Victivallales	0	0.04627	0	0	0	0
o__OFGB1226	0	0	0.03827	0	0	0
o__OFGB3012	0	0.02339	0	0	0	0
o__OFGB2875	0	0.01898	0	0	0	0
o__Fusobacteriales	0	0	0	0.006	0	0
