KO	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
K00001	0.0	0.0	42.498000000000005	196.7933	18.0457	65.7769	23.6275	0.0	325.7415	72.0079	164.2656	61.2927
K00003	637.241	42.4424	57.14052	703.781	531.222	307.3651	105.7766	22.2124	408.17969999999997	440.5199	539.7694	595.1288
K00004	18.505	9.06838	35.78187	303.798	0.0	15.02	52.4981	11.272	129.47789999999998	261.44259999999997	1031.6392999999998	0.0
K00008	0.0	123.867	26.6201	207.81189999999998	0.0	23.7102	0.0	0.0	301.68500000000006	134.0385	17.5148	0.0
K00012	0.0	0.0	5.19276	0.0	0.0	223.373	0.0	8.423969999999999	0.0	0.0	0.0	0.0
K00013	0.0	103.98899999999999	10.6081	575.2785	0.0	1331.1200000000001	44.4345	0.0	168.9633	90.1122	160.7815	0.0
K00014	272.0734	42.8378	103.6726	140.7617	249.84069999999997	152.1284	0.0	0.0	923.9956999999999	158.8257	513.5799	93.1002
K00016	84.4113	0.0	0.0	0.0	117.529	22.5446	19.5542	30.5724	99.1918	62.36619999999999	432.28020000000004	192.82760000000002
K00018	1038.148	0.0	0.0	232.022	325.514	0.0	14.8917	0.0	217.9556	95.8922	330.8151	37.6318
K00020	0.0	0.0	75.7107	157.028	0.0	0.0	0.0	0.0	0.0	427.98699999999997	0.0	0.0
K00021	50.9932	0.0	0.0	0.0	707.572	0.0	34.499	0.0	0.0	218.803	0.0	88.2076
K00024	0.0	107.55940000000001	24.563000000000002	1427.6748999999998	0.0	701.88	80.1463	45.8803	120.56320000000001	745.8326999999999	967.0090000000001	0.0
K00027	390.2788	36.7973	322.25	441.3675	244.46410000000003	686.6378	210.5941	0.0	1187.7293	779.9974	230.86400000000003	224.1719
K00029	55.9338	21.7028	286.0162	408.4953	58.0031	751.313	113.09200000000001	0.0	773.1274	733.0338999999999	0.0	0.0
K00031	0.0	0.0	6.843160000000001	160.1693	565.872	0.0	125.8952	0.0	363.6895	253.72590000000002	98.566	32.3132
K00033	345.125	141.90890000000002	122.25849	881.6536	465.543	293.5072	75.9642	129.767	900.0602	1142.8891	360.2236	396.6947
K00036	0.0	0.0	0.0	157.12359999999998	0.0	16.4611	33.5815	0.0	119.90879999999999	101.9817	143.47981	0.0
K00042	0.0	0.0	75.7107	157.028	0.0	0.0	0.0	0.0	0.0	427.98699999999997	0.0	0.0
K00048	0.0	21.5131	0.0	13.3111	0.0	0.0	0.0	0.0	0.0	120.624	0.0	0.0
K00052	217.1518	0.0	73.13832000000001	260.05730000000005	171.7998	26.4241	22.8823	0.0	736.8147	282.61129999999997	206.21840000000003	0.0
K00053	760.5774	31.68677	56.3046	348.6748	666.816	97.6547	66.1176	24.54829	91.4453	306.27279999999996	520.3113	167.30059999999997
K00054	50.9932	0.0	0.0	0.0	707.572	0.0	34.499	0.0	0.0	218.803	0.0	88.2076
K00057	78.0177	0.0	0.0	230.5725	318.981	252.183	310.6644	73.2543	389.1333	494.12930000000006	398.0147	329.6606
K00058	1251.475	0.0	37.1833	546.5366	1392.0273	115.8371	123.8073	38.0211	293.1531	302.09026	721.9540999999999	287.85080000000005
K00067	903.3384000000001	0.0	23.4985	0.0	563.0651	113.56540000000001	22.1047	0.0	0.0	0.0	1126.51	0.0
K00073	0.0	0.0	0.0	41.188	0.0	315.465	0.0	76.2493	45.4011	0.0	0.0	0.0
K00074	0.0	0.0	21.2826	0.0	256.113	47.4246	41.5283	0.0	0.0	61.2187	0.0	0.0
K00075	609.4780000000001	29.4928	76.5336	528.292	268.6995	317.1476	102.3839	0.0	357.9145	1050.4467	428.6514	679.3080000000001
K00077	282.483	0.0	19.0286	40.4124	0.0	0.0	269.314	37.4666	290.50059999999996	0.0	0.0	233.86900000000003
K00082	37.775999999999996	0.0	0.0	22.6552	78.7159	748.5880000000001	307.401	262.007	0.0	176.06599999999997	0.0	66.0313
K00087	0.0	0.0	0.0	233.54969999999997	0.0	49.0435	0.0	0.0	0.0	0.0	286.127	0.0
K00088	2789.485	115.012	29.854	765.1998	267.4427	1431.9238	474.81750000000005	32.6963	1126.696	642.4663	584.2211	1939.1097999999997
K00091	0.0	0.0	19.744	101.818	0.0	0.0	0.0	0.0	37.2652	28.0831	33.6354	0.0
K00097	70.6687	0.0	4.47349	241.1628	606.6042	277.388	48.7248	0.0	401.1654	344.0176	760.3752000000001	0.0
K00099	0.0	43.7389	33.236999999999995	652.3225	0.0	228.0285	0.0	83.0438	1101.1401	440.241	398.3845	156.733
K00100	0.0	0.0	0.0	10.4009	18.0457	42.0667	0.0	0.0	11.3206	25.7103	81.6108	61.2927
K00101	215.136	0.0	176.709	65.8323	0.0	0.0	132.60299999999998	0.0	0.0	45.2017	0.0	0.0
K00102	0.0	18.3956	30.586199999999998	463.01980000000003	0.0	0.0	31.7929	26.7347	338.2671	488.9486	193.35559999999998	81.1487
K00104	190.07989999999998	0.0	18.9082	0.0	308.21999999999997	135.3716	73.1544	0.0	0.0	0.0	0.0	93.7047
K00105	0.0	0.0	0.0	0.0	0.0	0.0	248.516	0.0	0.0	74.1461	0.0	0.0
K00111	0.0	52.3402	29.8756	106.0771	389.444	116.956	333.248	0.0	136.7562	115.4747	142.464	0.0
K00112	0.0	33.4	0.0	329.34800000000007	0.0	264.90319999999997	0.0	0.0	41.0513	107.89340000000001	225.99079999999998	55.0496
K00113	0.0	0.0	0.0	87.4745	0.0	75.8814	0.0	27.7723	42.1	66.6926	428.8487	110.709
K00116	0.0	0.0	11.4545	339.3449	0.0	0.0	0.0	0.0	281.9867	570.4792	128.99259999999998	0.0
K00121	46.7651	268.9528	21.23991	126.4948	0.0	10.0998	0.0	7.6285300000000005	24.3176	73.7037	14.607999999999999	0.0
K00123	42.7581	91.20219999999999	5.798780000000001	259.3521	408.375	93.8886	10.8147	41.6089	130.77429999999998	134.2765	544.6091	438.75629999999995
K00124	0.0	27.7064	23.9165	117.3734	288.2238	188.2874	0.0	44.1413	79.4962	176.2574	357.5897	81.1487
K00127	0.0	35.2553	0.0	71.3498	244.136	38.9819	0.0	28.5254	65.6806	361.8836	242.9346	103.234
K00128	613.1673000000001	0.0	125.5691	112.5804	197.8193	155.3987	0.0	30.5724	1079.2363	162.3061	110.4932	126.402
K00131	189.581	0.0	0.0	0.0	246.25599999999997	0.0	0.0	0.0	0.0	0.0	0.0	82.2561
K00133	99.8064	25.66632	89.37854	351.37459999999993	511.90399999999994	510.74289999999996	169.55848999999998	103.09886	746.4415	752.42481	294.6251	382.9678
K00134	550.2118	0.0	316.11321000000015	1292.4660999999999	2929.0239	1066.1194	358.61940000000004	18.9792	1056.5982000000001	693.8738099999999	708.0714	426.1077
K00135	0.0	51.4559	116.5299	1172.2936	0.0	0.0	0.0	0.0	413.228	1611.0084	389.60839999999996	0.0
K00145	0.0	0.0	0.0	102.054	0.0	0.0	29.0984	0.0	55.7625	42.0652	25.1578	0.0
K00147	0.0	0.0	0.0	320.5519	0.0	339.4285	0.0	8.66729	534.9406	347.45056999999997	344.3	0.0
K00148	0.0	123.867	15.7441	106.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00156	0.0	18.5998	52.352000000000004	33.2711	0.0	53.385	203.5788	22.9402	228.4334	151.1643	50.535199999999996	264.0629
K00158	0.0	18.5998	52.352000000000004	33.2711	0.0	53.385	203.5788	22.9402	228.4334	151.1643	50.535199999999996	264.0629
K00161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.2161	251.845	388.6446	0.0
K00162	275.837	12.7122	0.0	320.263	88.6238	0.0	643.7536	0.0	127.619	0.0	497.397	241.34249999999997
K00163	0.0	157.86856	5.93192	356.63719999999995	39.6853	117.86160000000001	77.0317	48.8848	198.29879999999997	252.89719999999997	482.3725	170.83780000000002
K00164	0.0	85.81503000000001	51.477729999999994	308.34999999999997	0.0	184.83089999999999	0.0	4.6231	224.19053	742.3329	435.9685	330.1565
K00174	0.0	0.0	23.9165	0.0	0.0	1177.9830000000002	93.7738	0.0	37.2652	0.0	0.0	0.0
K00175	0.0	0.0	0.0	49.3675	0.0	1442.135	0.0	0.0	0.0	0.0	0.0	0.0
