# Pathway	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
UNINTEGRATED|g__Aggregatibacter.s__Aggregatibacter_segnis	0	0	0	0	0.134749	0	0	0	0	0	0	0
UNINTEGRATED|g__Capnocytophaga.s__Capnocytophaga_leadbetteri	0	0	0	0	0.0557422	0	0	0	0	0	0	0
UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_nucleatum	0.192965	0	0	0	0.218378	0	0	0	0	0	0	0
UNINTEGRATED|g__Gemella.s__Gemella_sanguinis	0	0	0	0	0	0	0	0	0.0279347	0	0	0
UNINTEGRATED|g__Haemophilus.s__Haemophilus_influenzae	0	0	0	0	0	0	0	0	0	0	0.0205955	0
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parahaemolyticus	0	0	0	0.00665224	0	0	0	0	0	0.0863003	0	0
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0.0187695	0	0	0.0201565	0.00914447	0.15067	0.00422212
UNINTEGRATED|g__Neisseria.s__Neisseria_flavescens	0	0	0	0.0755196	0	0	0	0	0.0527117	0.0599966	0.0112308	0
UNINTEGRATED|g__Neisseria.s__Neisseria_meningitidis	0	0	0	0.020525	0	0	0	0	0.019969	0.0184924	0	0
UNINTEGRATED|g__Neisseria.s__Neisseria_subflava	0	0	0	0.0872513	0	0	0	0	0.0699179	0.0547318	0	0
UNINTEGRATED|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0.2078	0	0	0	0	0	0
UNINTEGRATED|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0.0785047	0
UNINTEGRATED|g__Sphingomonas.s__Sphingomonas_melonis	0	0.089043	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_australis	0	0	0	0	0	0	0	0	0.0236579	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0.0205871	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_mitis	0	0	0	0	0	0	0.0794741	0	0	0.0566301	0.0112185	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_sp_A12	0	0	0	0	0	0	0	0	0.0120226	0	0	0
UNINTEGRATED|g__Veillonella.s__Veillonella_atypica	0	0	0	0	0	0.103908	0	0	0	0	0	0
UNINTEGRATED|g__Veillonella.s__Veillonella_dispar	0	0	0	0	0	0	0	0	0	0	0.00940166	0
UNINTEGRATED|g__Veillonella.s__Veillonella_infantium	0	0	0	0	0	0	0	0	0	0	0.0098324	0
UNINTEGRATED|g__Veillonella.s__Veillonella_rogosae	0	0	0	0	0	0	0	0	0	0	0.0436441	0
UNINTEGRATED|unclassified	0.172812	0	0	0.0842561	0.0688405	0	0.0950207	0	0.0837985	0.0964578	0.0591611	0.107594
1CMET2-PWY: folate transformations III (E. coli)|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0.000330564	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	9.58084e-05	0	0	0
