bray_curtis	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
C1	0	0.932	0.754	0.923	0.540	0.895	0.633	0.894	0.919	0.945	0.913	0.765
C2	0.932	0	0.460	0.722	0.934	0.794	0.758	0.547	0.785	0.789	0.801	0.801
C3	0.754	0.460	0	0.618	0.734	0.757	0.611	0.588	0.638	0.697	0.698	0.716
C4	0.923	0.722	0.618	0	0.916	0.792	0.746	0.757	0.472	0.280	0.555	0.811
C5	0.540	0.934	0.734	0.916	0	0.913	0.776	0.919	0.915	0.932	0.911	0.757
C6	0.895	0.794	0.757	0.792	0.913	0	0.750	0.795	0.808	0.837	0.789	0.801
N1	0.633	0.758	0.611	0.746	0.776	0.750	0	0.723	0.759	0.739	0.782	0.637
N2	0.894	0.547	0.588	0.757	0.919	0.795	0.723	0	0.750	0.818	0.775	0.684
N3	0.919	0.785	0.638	0.472	0.915	0.808	0.759	0.750	0	0.535	0.474	0.808
N4	0.945	0.789	0.697	0.280	0.932	0.837	0.739	0.818	0.535	0	0.636	0.774
N5	0.913	0.801	0.698	0.555	0.911	0.789	0.782	0.775	0.474	0.636	0	0.804
N6	0.765	0.801	0.716	0.811	0.757	0.801	0.637	0.684	0.808	0.774	0.804	0
