euclidean	C1	C6	N5	N6	N3	N4	N1	C4	C5	C3	N2	C2
C1	0	13.3	14.2	14.7	14.8	15.4	14.9	15.7	14.8	16.2	16.7	20.4
C6	13.3	0	12.0	13.3	13.5	13.9	14.2	14.3	14.4	15.5	15.6	19.1
N5	14.2	12.0	0	14.2	14.0	14.5	15.1	14.5	14.8	16.0	16.1	19.9
N6	14.7	13.3	14.2	0	15.2	15.8	15.0	16.0	15.3	16.9	16.7	20.3
N3	14.8	13.5	14.0	15.2	0	14.7	14.8	14.6	15.9	15.9	16.3	19.8
N4	15.4	13.9	14.5	15.8	14.7	0	16.0	14.3	16.0	17.1	17.2	20.2
N1	14.9	14.2	15.1	15.0	14.8	16.0	0	16.4	16.2	16.4	16.6	20.2
C4	15.7	14.3	14.5	16.0	14.6	14.3	16.4	0	16.4	16.1	17.5	19.6
C5	14.8	14.4	14.8	15.3	15.9	16.0	16.2	16.4	0	17.7	17.3	20.5
C3	16.2	15.5	16.0	16.9	15.9	17.1	16.4	16.1	17.7	0	17.9	19.4
N2	16.7	15.6	16.1	16.7	16.3	17.2	16.6	17.5	17.3	17.9	0	20.0
C2	20.4	19.1	19.9	20.3	19.8	20.2	20.2	19.6	20.5	19.4	20.0	0
