euclidean	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
C1	0	20.4	16.2	15.7	14.8	13.3	14.9	16.7	14.8	15.4	14.2	14.7
C2	20.4	0	19.4	19.6	20.5	19.1	20.2	20.0	19.8	20.2	19.9	20.3
C3	16.2	19.4	0	16.1	17.7	15.5	16.4	17.9	15.9	17.1	16.0	16.9
C4	15.7	19.6	16.1	0	16.4	14.3	16.4	17.5	14.6	14.3	14.5	16.0
C5	14.8	20.5	17.7	16.4	0	14.4	16.2	17.3	15.9	16.0	14.8	15.3
C6	13.3	19.1	15.5	14.3	14.4	0	14.2	15.6	13.5	13.9	12.0	13.3
N1	14.9	20.2	16.4	16.4	16.2	14.2	0	16.6	14.8	16.0	15.1	15.0
N2	16.7	20.0	17.9	17.5	17.3	15.6	16.6	0	16.3	17.2	16.1	16.7
N3	14.8	19.8	15.9	14.6	15.9	13.5	14.8	16.3	0	14.7	14.0	15.2
N4	15.4	20.2	17.1	14.3	16.0	13.9	16.0	17.2	14.7	0	14.5	15.8
N5	14.2	19.9	16.0	14.5	14.8	12.0	15.1	16.1	14.0	14.5	0	14.2
N6	14.7	20.3	16.9	16.0	15.3	13.3	15.0	16.7	15.2	15.8	14.2	0
