jaccard	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
C1	0	0.965	0.860	0.960	0.701	0.945	0.775	0.944	0.958	0.972	0.954	0.867
C2	0.965	0	0.630	0.838	0.966	0.885	0.862	0.707	0.879	0.882	0.890	0.890
C3	0.860	0.630	0	0.764	0.846	0.862	0.758	0.741	0.779	0.822	0.822	0.834
C4	0.960	0.838	0.764	0	0.956	0.884	0.854	0.861	0.642	0.437	0.714	0.896
C5	0.701	0.966	0.846	0.956	0	0.955	0.874	0.958	0.956	0.965	0.953	0.862
C6	0.945	0.885	0.862	0.884	0.955	0	0.857	0.886	0.894	0.911	0.882	0.889
N1	0.775	0.862	0.758	0.854	0.874	0.857	0	0.839	0.863	0.850	0.878	0.779
N2	0.944	0.707	0.741	0.861	0.958	0.886	0.839	0	0.857	0.900	0.873	0.812
N3	0.958	0.879	0.779	0.642	0.956	0.894	0.863	0.857	0	0.697	0.643	0.894
N4	0.972	0.882	0.822	0.437	0.965	0.911	0.850	0.900	0.697	0	0.777	0.873
N5	0.954	0.890	0.822	0.714	0.953	0.882	0.878	0.873	0.643	0.777	0	0.891
N6	0.867	0.890	0.834	0.896	0.862	0.889	0.779	0.812	0.894	0.873	0.891	0
