jaccard_binary	C1	C3	C4	N4	C6	N5	N6	N3	N1	N2	C5	C2
C1	0	0.710	0.730	0.730	0.663	0.691	0.672	0.686	0.669	0.734	0.710	0.821
C3	0.710	0	0.652	0.719	0.681	0.687	0.692	0.646	0.657	0.701	0.766	0.694
C4	0.730	0.652	0	0.604	0.661	0.649	0.691	0.620	0.698	0.726	0.742	0.741
N4	0.730	0.719	0.604	0	0.650	0.659	0.690	0.637	0.690	0.720	0.736	0.777
C6	0.663	0.681	0.661	0.650	0	0.563	0.599	0.618	0.638	0.685	0.702	0.768
N5	0.691	0.687	0.649	0.659	0.563	0	0.629	0.629	0.672	0.691	0.700	0.787
N6	0.672	0.692	0.691	0.690	0.599	0.629	0	0.653	0.620	0.680	0.681	0.770
N3	0.686	0.646	0.620	0.637	0.618	0.629	0.653	0	0.620	0.671	0.728	0.758
N1	0.669	0.657	0.698	0.690	0.638	0.672	0.620	0.620	0	0.664	0.721	0.759
N2	0.734	0.701	0.726	0.720	0.685	0.691	0.680	0.671	0.664	0	0.745	0.723
C5	0.710	0.766	0.742	0.736	0.702	0.700	0.681	0.728	0.721	0.745	0	0.807
C2	0.821	0.694	0.741	0.777	0.768	0.787	0.770	0.758	0.759	0.723	0.807	0
