Species	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
Haemophilus parainfluenzae	906	2247	99	2328	25	565	1963	1866	6921	860
Prevotella melaninogenica	582	295	23	12982	1174	562	93	171	297	128
Rothia mucilaginosa	87	1201	2	122	137	60	2421	1470	7418	42
Fusobacterium nucleatum	1469	77	5969	693	881	93	179	45	379	2102
Neisseria subflava	302	1337	11	34	135	28	2276	1385	2260	14
Neisseria mucosa	153	2724	0	49	154	199	966	2776	166	91
Haemophilus parahaemolyticus	2	1336	37	1	0	10	5	5438	11	12
Homo sapiens	2958	537	44	11	785	2099	199	118	43	30
Fusobacterium pseudoperiodonticum	615	1659	91	73	410	39	870	1405	728	43
Gemella haemolysans	202	1312	53	36	25	12	72	3547	45	217
Veillonella parvula	39	115	2	223	41	646	322	63	418	2701
Streptococcus mitis	63	334	125	135	1492	33	59	1109	251	898
Veillonella atypica	116	142	11	3592	90	18	55	80	100	59
Gemella sanguinis	226	41	4	96	51	20	2703	41	330	2
Aggregatibacter segnis	1	17	2976	23	170	39	7	19	18	141
Tannerella sp. oral taxon HOT-286	66	11	13	113	215	358	43	11	12	2075
Corynebacterium matruchotii	0	0	0	24	1	1589	0	2	7	1271
Leptotrichia sp. oral taxon 212	567	128	1160	6	49	110	260	104	113	165
Veillonella sp. T1-7	31	376	0	159	70	313	284	201	894	26
Capnocytophaga sp. FDAARGOS	55	26	1627	5	248	8	12	13	8	276
Capnocytophaga sputigena	55	8	132	10	1578	58	142	6	25	229
Campylobacter concisus	172	141	72	1285	117	33	22	111	136	28
Capnocytophaga leadbetteri	44	23	1478	9	248	9	7	8	4	207
Prevotella jejuni	49	13	7	1121	256	76	20	9	16	18
Haemophilus haemolyticus	26	72	38	108	20	16	31	135	133	834
Prevotella oris	8	1	9	111	32	88	11	1	49	962
Pseudopropionibacterium propionicum	18	0	0	2	10	1071	18	1	0	90
Streptococcus pneumoniae	24	104	37	33	434	13	56	278	68	153
Neisseria flavescens	62	265	0	6	38	3	497	231	74	7
Veillonella dispar	6	163	2	92	22	137	130	97	485	22
Leptotrichia wadei	34	13	63	436	317	10	21	11	17	213
Neisseria sp. oral taxon 014	21	17	0	139	68	4	32	23	4	804
Streptococcus sp. oral taxon 061	77	34	4	9	68	6	711	60	132	4
Streptococcus gordonii	43	7	3	7	63	722	97	14	27	118
Prevotella intermedia	12	8	15	423	134	149	5	0	19	310
Capnocytophaga gingivalis	47	76	25	3	316	3	27	126	340	84
Lautropia mirabilis	25	0	3	0	57	686	97	0	26	133
Streptococcus parasanguinis	13	200	0	287	19	59	116	214	80	5
Streptococcus sp. oral taxon 431	338	60	19	20	47	5	271	92	111	8
Gemella morbillorum	17	7	379	8	424	18	34	16	29	14
Streptococcus sp. A12	16	42	0	6	6	11	700	71	75	0
Haemophilus influenzae	22	109	31	44	21	19	39	325	78	210
Aggregatibacter aphrophilus	4	12	581	14	56	12	10	18	82	83
Streptococcus oralis	34	26	9	16	295	38	106	80	53	148
Schaalia odontolytica	8	15	0	5	74	10	245	12	408	4
Neisseria elongata	29	34	3	21	98	363	79	42	9	51
Streptococcus australis	21	24	3	10	22	6	475	56	64	36
Lachnoanaerobaculum umeaense	25	133	333	21	33	1	71	55	8	24
Streptococcus sanguinis	31	9	5	10	180	93	67	3	36	261
