Genus	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
g__Haemophilus	0	41.55308	11.22223	18.30953	0	8.60605	0	8.59656	10.10225	31.31227	35.56198	19.05287
g__Fusobacterium	34.44321	0	43.68889	10.12294	30.7742	2.42216	6.47104	0	3.29618	4.82161	1.45914	11.51017
g__Capnocytophaga	41.79757	0	0	0	13.69889	0	59.21851	0	0	0	1.45235	5.3501
g__Veillonella	0	1.07232	3.885	6.1308	0	31.94992	2.5239	25.89607	8.28124	2.87306	19.81391	16.93403
g__Neisseria	0	11.14408	16.67326	30.66689	0	0	6.03833	0	22.92717	21.16777	6.92567	3.52826
g__Prevotella	6.21111	1.62683	5.93921	0	5.04503	54.32263	6.5528	4.78538	0	0	0	4.8954
g__Streptococcus	0	0	0	8.07217	0	1.21409	15.76156	7.35783	20.20501	10.19995	3.26243	7.43842
g__Rothia	0	0	0	7.12324	0	0	0	5.20333	14.37206	6.74279	30.84774	0
g__Gemella	5.66836	0	9.28457	8.7403	0	0	1.55517	0	18.49003	16.6739	0.67677	1.1452
unclassified	0	0	9.30683	5.58308	7.06627	0.88613	0	12.5385	1.27566	0	0	2.77221
g__Sphingomonas	0	37.13768	0	0	0	0	0	0	0	0	0	0
g__Aggregatibacter	0	0	0	0	29.37239	0	1.32388	0	0	0	0	3.0608
g__Corynebacterium	0	0	0	0	0	0	0	23.27956	0	0	0	7.24596
g__Actinobacillus	0	7.46599	0	4.70802	0	0	0	0	0	6.20864	0	0
g__Leptotrichia	0	0	0	0	6.49183	0.59901	0	0	0	0	0	5.32102
g__Propionibacterium	0	0	0	0	0	0	0	9.34824	0	0	0	0
g__Granulicatella	0	0	0	0	5.16404	0	0	0	1.0504	0	0	0
g__Alloprevotella	5.44362	0	0	0	0	0	0.55482	0	0	0	0	0
g__Campylobacter	0.17326	0	0	0	2.38735	0	0	0	0	0	0	2.32243
g__Filifactor	4.76921	0	0	0	0	0	0	0	0	0	0	0
g__Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	4.02554
g__Bacteroidetes_noname	0	0	0	0	0	0	0	0	0	0	0	3.05618
g__Lautropia	0	0	0	0	0	0	0	2.29469	0	0	0	0
g__Treponema	0	0	0	0	0	0	0	0	0	0	0	1.1105
g__Solobacterium	0.84437	0	0	0	0	0	0	0	0	0	0	0
g__Dialister	0	0	0	0	0	0	0	0	0	0	0	0.84361
g__Actinomyces	0	0	0	0	0	0	0	0.69984	0	0	0	0
g__Catonella	0.64929	0	0	0	0	0	0	0	0	0	0	0
g__Oribacterium	0	0	0	0.54303	0	0	0	0	0	0	0	0
g__Selenomonas	0	0	0	0	0	0	0	0	0	0	0	0.38731
