Taxonomy	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
c__Bacteroidia	31.59191	6.39757	5.94045	10.42870	9.58865	58.34497	27.01112	7.49911	0.50999	3.09935	1.40261	30.90183
c__Flavobacteriia	27.67967	0.00000	0.00000	1.62813	14.41751	0.00000	18.59022	0.00000	0.00000	0.39642	0.37826	2.78933
c__Bacilli	22.15160	0.00000	0.00000	16.46393	5.47956	1.46773	57.28543	7.48749	86.51815	28.29822	7.02317	3.95440
c__Erysipelotrichia	0.47414	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
c__Spirochaetia	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.37518
c__Actinomycetia	0.00000	0.00000	0.00000	3.63255	0.00000	0.00000	1.48502	40.87156	10.18715	2.66114	32.78184	2.40142
c__Betaproteobacteria	0.00000	0.00000	17.26694	35.75949	0.00000	0.00000	2.16990	9.59797	25.72514	26.94500	14.96448	3.57586
c__Gammaproteobacteria	0.58721	41.29453	12.94185	18.02677	30.26556	10.05363	0.45174	8.12685	2.17976	43.78667	18.80259	21.18583
c__Clostridia	9.18300	0.00000	0.00000	0.00000	0.00000	1.76439	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
c__Fusobacteriia	26.56114	0.00000	57.16661	17.37165	31.22691	2.05498	6.37121	12.45876	9.81203	9.18735	5.92715	15.22431
c__CFGB1762	1.13491	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
c__Alphaproteobacteria	0.00000	52.30790	6.68415	0.18328	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
c__CFGB4196	0.00000	0.00000	0.00000	0.00000	9.58807	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
c__Negativicutes	0.00000	0.00000	0.00000	4.07783	0.00000	24.62254	0.00000	13.95825	6.30716	0.47485	19.76913	12.23792
unclassified	0.80020	0.00000	0.00000	0.00000	0.00000	0.00000	1.96959	0.00000	0.00000	0.00000	0.00000	14.91071
c__Epsilonproteobacteria	0.00000	0.00000	0.00000	0.00000	2.01793	2.86802	0.00000	0.00000	0.00000	0.00000	0.00000	3.57232
