Taxonomy	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
g__Tannerella	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.71047	0.00000	0.00000	0.00000	10.57549
g__Peptostreptococcus	0.14092	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
g__Dialister	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.23470
g__Campylobacter	0.00000	0.00000	0.00000	0.00000	2.01793	2.86802	0.00000	0.00000	0.00000	0.00000	0.00000	3.57232
g__Haemophilus	0.00000	41.29453	12.94185	18.02677	0.00000	10.05363	0.00000	0.00000	2.17976	43.78667	18.80259	17.62418
g__Actinomyces	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.48502	7.68720	0.00000	0.00000	5.25778	0.00000
g__GGB1833	1.25994	0.00000	0.00000	0.00000	0.00000	0.00000	4.04099	0.00000	0.00000	0.00000	0.00000	0.00000
g__Alloprevotella	14.37729	0.00000	0.00000	0.00000	0.00000	0.00000	5.40213	0.00000	0.00000	0.00000	0.00000	0.00000
g__GGB1843	0.00000	0.00000	0.00000	1.62813	0.87383	0.00000	0.00000	0.00000	0.00000	0.39642	0.00000	0.00000
g__GGB12761	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	10.69782
g__GGB4937	0.60015	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
g__Granulicatella	0.00000	0.00000	0.00000	0.00000	0.51783	0.00000	0.00000	0.00000	3.40741	0.00000	0.00000	0.00000
g__Selenomonas	0.00000	0.00000	0.00000	0.00000	0.00000	1.20800	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
g__Leptotrichia	1.28035	0.00000	10.66438	2.64881	12.64184	0.69204	0.00000	12.45876	4.57944	1.21602	0.00000	0.00000
g__Rothia	0.00000	0.00000	0.00000	3.63255	0.00000	0.00000	0.00000	0.00000	7.56978	2.66114	27.52406	0.00000
g__Gemella	16.61370	0.00000	0.00000	7.57233	2.58420	0.00000	14.02119	0.00000	41.23938	14.84901	1.04922	0.00000
g__GGB4533	1.13491	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
g__Veillonella	0.00000	0.00000	0.00000	4.07783	0.00000	23.41454	0.00000	13.95825	6.30716	0.47485	19.76913	11.00322
g__Treponema	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.37518
g__GGB1144	0.00000	0.00000	0.00000	0.00000	0.00000	1.92283	3.07752	0.00000	0.00000	0.00000	0.00000	0.00000
g__Capnocytophaga	26.41973	0.00000	0.00000	0.00000	13.54368	0.00000	14.54923	0.00000	0.00000	0.00000	0.37826	2.78933
g__Solobacterium	0.47414	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
g__Lautropia	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	9.59797	0.00000	0.00000	0.00000	0.00000
g__Aggregatibacter	0.58721	0.00000	0.00000	0.00000	30.26556	0.00000	0.45174	0.00000	0.00000	0.00000	0.00000	3.56165
g__Arachnia	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	8.50534	0.00000	0.00000	0.00000	0.00000
g__Streptococcus	0.00000	0.00000	0.00000	6.36749	1.51613	1.46773	38.59051	7.48749	28.12490	8.49954	5.62421	3.95440
unclassified	10.16283	0.00000	0.00000	2.52411	0.86140	1.76439	6.64332	0.00000	13.74646	4.94967	0.34974	4.21289
g__Porphyromonas	1.71391	0.00000	3.68016	10.42870	7.22401	0.00000	1.03747	0.00000	0.50999	3.09935	1.40261	1.48937
g__Filifactor	4.61720	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
g__Sphingomonas	0.00000	52.30790	6.68415	0.18328	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
g__GGB1088	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	12.20647	0.00000	0.00000	0.00000	0.00000	0.00000
g__Fusobacterium	25.28079	0.00000	46.50223	14.72284	18.58507	1.36294	6.37121	0.00000	5.23259	7.97133	5.92715	15.22431
g__Neisseria	0.00000	0.00000	17.26694	35.75949	0.00000	0.00000	2.16990	0.00000	25.72514	26.94500	14.96448	3.57586
g__GGB12441	0.00000	0.00000	0.00000	0.00000	9.58807	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
g__Schaalia	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	2.61737	0.00000	0.00000	0.00000
g__Corynebacterium	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	24.67902	0.00000	0.00000	0.00000	2.40142
g__Prevotella	15.50071	6.39757	2.26029	0.00000	2.36464	56.42214	5.28753	6.78864	0.00000	0.00000	0.00000	18.83697
g__Cardiobacterium	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	8.12685	0.00000	0.00000	0.00000	0.00000
