Family	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
f__Pasteurellaceae	0.58721	41.29453	12.94185	18.02677	30.26556	10.05363	0.45174	0	2.17976	43.78667	18.80259	21.18583
unclassified	22.9518	0	0	10.09644	3.4456	0	20.66451	0	54.98584	19.79868	1.39896	14.91071
f__Fusobacteriaceae	25.28079	0	46.50223	14.72284	18.58507	1.36294	6.37121	0	5.23259	7.97133	5.92715	15.22431
f__Prevotellaceae	29.878	6.39757	2.26029	0	2.36464	58.34497	13.76718	6.78864	0	0	0	18.83697
f__Neisseriaceae	0	0	17.26694	35.75949	0	0	2.1699	0	25.72514	26.945	14.96448	3.57586
f__Streptococcaceae	0	0	0	6.36749	1.51613	1.46773	38.59051	7.48749	28.1249	8.49954	5.62421	3.9544
f__Veillonellaceae	0	0	0	4.07783	0	23.41454	0	13.95825	6.30716	0.47485	19.76913	12.23792
f__Flavobacteriaceae	27.67967	0	0	0	13.54368	0	18.59022	0	0	0	0.37826	2.78933
f__Sphingomonadaceae	0	52.3079	6.68415	0.18328	0	0	0	0	0	0	0	0
f__Leptotrichiaceae	1.28035	0	10.66438	2.64881	12.64184	0.69204	0	12.45876	4.57944	1.21602	0	0
f__Porphyromonadaceae	1.71391	0	3.68016	10.4287	7.22401	0	13.24394	0	0.50999	3.09935	1.40261	1.48937
f__Micrococcaceae	0	0	0	3.63255	0	0	0	0	7.56978	2.66114	27.52406	0
f__Corynebacteriaceae	0	0	0	0	0	0	0	24.67902	0	0	0	2.40142
f__Actinomycetaceae	0	0	0	0	0	0	1.48502	7.6872	2.61737	0	5.25778	0
f__Tannerellaceae	0	0	0	0	0	0	0	0.71047	0	0	0	10.57549
f__Burkholderiaceae	0	0	0	0	0	0	0	9.59797	0	0	0	0
f__FGB4196	0	0	0	0	9.58807	0	0	0	0	0	0	0
f__Propionibacteriaceae	0	0	0	0	0	0	0	8.50534	0	0	0	0
f__Campylobacteraceae	0	0	0	0	2.01793	2.86802	0	0	0	0	0	3.57232
f__Cardiobacteriaceae	0	0	0	0	0	0	0	8.12685	0	0	0	0
f__Peptostreptococcaceae	4.75812	0	0	0	0	0	0	0	0	0	0	0
f__Lachnospiraceae	4.42488	0	0	0	0	0	0	0	0	0	0	0
f__Carnobacteriaceae	0	0	0	0	0.51783	0	0	0	3.40741	0	0	0
f__Weeksellaceae	0	0	0	1.62813	0.87383	0	0	0	0	0.39642	0	0
f__Eubacteriales_Family_XIII_Incertae_Sedis	0	0	0	0	0	1.76439	0	0	0	0	0	0
f__Selenomonadaceae	0	0	0	0	0	1.208	0	0	0	0	0	0
f__FGB1762	1.13491	0	0	0	0	0	0	0	0	0	0	0
f__Erysipelotrichaceae	0.47414	0	0	0	0	0	0	0	0	0	0	0
f__Treponemataceae	0	0	0	0	0	0	0	0	0	0	0	0.37518
