	s__Actinomyces_bouchesdurhonensis	s__Actinomyces_oris	s__Actinomyces_SGB17157	s__Aggregatibacter_segnis	s__Aggregatibacter_sp_2125159857	s__Alloprevotella_SGB1410	s__Alloprevotella_sp_oral_taxon_473	s__Arachnia_propionica	s__Bacteroidetes_oral_taxon_274	s__Campylobacter_concisus	s__Campylobacter_SGB19292	s__Campylobacter_SGB96438	s__Capnocytophaga_gingivalis	s__Capnocytophaga_granulosa	s__Capnocytophaga_leadbetteri	s__Capnocytophaga_SGB2480	s__Capnocytophaga_sputigena	s__Cardiobacterium_SGB9419	s__Corynebacterium_matruchotii	s__Dialister_invisus	s__Eubacterium_sulci	s__Filifactor_alocis	s__Fusobacterium_nucleatum	s__Fusobacterium_pseudoperiodonticum	s__Gemella_haemolysans	s__Gemella_morbillorum	s__Gemella_sanguinis	s__GGB1088_SGB1395	s__GGB1144_SGB1468	s__GGB12441_SGB19290	s__GGB12761_SGB19791	s__GGB1833_SGB2477	s__GGB1843_SGB2516	s__GGB1843_SGB2524	s__GGB4533_SGB94822	s__GGB4937_SGB6891	s__Granulicatella_SGB8239	s__Granulicatella_SGB8255	s__Haemophilus_haemolyticus	s__Haemophilus_parahaemolyticus	s__Haemophilus_parainfluenzae	s__Haemophilus_sputorum	s__Lachnospiraceae_bacterium_oral_taxon_500	s__Lautropia_mirabilis	s__Leptotrichia_massiliensis	s__Leptotrichia_SGB6069	s__Leptotrichia_sp_oral_taxon_212	s__Leptotrichia_sp_oral_taxon_215	s__Leptotrichia_wadei	s__Neisseria_sp_oral_taxon_014	s__Neisseria_subflava	s__Peptostreptococcus_SGB749	s__Porphyromonas_endodontalis	s__Porphyromonas_pasteri	s__Prevotella_conceptionensis	s__Prevotella_melaninogenica	s__Prevotella_nanceiensis	s__Prevotella_nigrescens	s__Prevotella_oris	s__Prevotella_oulorum	s__Prevotella_pallens	s__Prevotella_salivae	s__Prevotella_SGB1459	s__Rothia_mucilaginosa	s__Schaalia_odontolytica	s__Selenomonas_SGB5880	s__Solobacterium_moorei	s__Sphingomonas_melonis	s__Streptococcus_australis	s__Streptococcus_gordonii	s__Streptococcus_infantis	s__Streptococcus_mitis	s__Streptococcus_parasanguinis	s__Streptococcus_rubneri	s__Tannerella_serpentiformis	s__Treponema_denticola	s__Veillonella_atypica	s__Veillonella_dispar	s__Veillonella_parvula	s__Veillonella_rogosae	unclassified
s__Actinomyces_bouchesdurhonensis	1.0	0.3348188260110248	0.16405523155182106	0.01948334897963047	0.35295726926744375	-0.036978343343329244	-0.2102613126247851	0.09482441206341521	-0.10799214389456965	-0.23698418678162428	0.2279670820481836	0.0901085395418354	0.2860042663741412	0.26563021314216995	-0.013626967015988867	0.048832816266225015	-0.048425763684852505	-0.033143153450151855	0.28542000428575026	-0.02407051069567741	-0.15492841778813865	-0.06194688827140045	-0.12960555957042696	-0.06008805412295329	0.025471261069851314	-0.05790115892306754	0.2822931083378757	0.23890386085963014	-0.21510378019460008	0.02344373373185831	-0.11302361235096856	-0.02366712252074497	-0.03114263324412518	-0.18707291391243924	-0.003680271671017251	-0.06611050826899745	0.1414723365680143	0.061596947926637134	0.27976034328350113	-0.008260417227154407	0.09109977616929399	0.2692018254785319	-0.11026839099446878	0.14716470159775258	0.12171014101481276	0.07815403501521098	0.320644733006413	0.04381143229731819	-0.11831096681408416	-0.01200769279412017	0.042547784429639794	0.07417274913737876	0.09995482502300537	-0.15833481400756247	-0.04886226166633156	0.13135075124535048	0.12013129579512463	0.04099912427992268	0.2906650290596964	0.17799377296105431	-0.15793676933035206	-0.0012305777627998893	0.013543425636294064	0.004818587366503721	0.14669266483571544	-0.18903538361821431	-0.033841713133631504	0.4371545040154353	0.2547623625265455	0.3208907182615224	0.31004587531419675	-0.3650511213553923	-0.03836530706946233	0.07878905938752509	0.06358939195447005	0.21865986909139118	-0.20336897524479255	-0.11092379486609723	0.17371938360478534	-0.0325539430273753	-0.44286006122690624
s__Actinomyces_oris	0.3348188260110248	1.0	0.08069018317176466	-0.07799678527399731	0.3939617055406764	-0.18490555353679866	-0.3763916940073737	0.41547443214597535	0.2790771883309776	0.06518338394456608	-0.000550883313906618	0.2770328898161145	0.06764801096309914	0.41891165150528964	-0.18815177440474304	0.26458257138836944	-0.24894813555387757	0.08657879831444559	0.283114736210414	0.26471694264814793	0.02626932599338951	-0.4034928658121809	-0.20349682085514664	-0.09888767860125684	-0.13808041261034426	-0.20845174383754858	0.10788189998544907	0.3401045240981213	0.07376092381220167	0.19389663371556193	0.3337928988652027	-0.16292544718909438	0.23034937842547815	-0.05532917349418474	-0.1163770817616305	-0.29882006923752	0.3520363558281309	0.08927946089043717	0.15633562490703867	-0.10247589515280008	0.3507889455301987	0.40304760384122507	-0.28287443980281496	0.2608025619103318	0.237803909827208	-0.02578942239093711	0.10023603225465308	-0.03070078310348703	0.13417812141164565	0.3041644389915701	-0.1126874756514152	-0.022111607372029798	-0.025520887488600003	-0.31175417188924864	0.2591843708182144	0.24043910295508697	0.20267271251210495	-0.3637320944128052	0.21264585326121688	0.24744747784265492	0.05158643633910895	0.09782735665728255	-0.0033262016312520445	-0.14373563981364343	0.2158125243533538	0.15062536778309993	-0.1613727054498113	0.4662509137946692	0.25117263627419495	0.4474099638134612	0.1831860808397286	-0.20520327448902037	-0.10490157262825764	0.29751884936055784	0.09222398801203968	0.22275254753104456	0.10820335968624131	-0.02178379619351374	0.38794877954271606	-0.07336194369900848	-0.5010495888109396
s__Actinomyces_SGB17157	0.16405523155182106	0.08069018317176467	1.0	-0.12888615714293317	0.026529974318593687	-0.14787195985112414	-0.14234354179035083	-0.0543784059148179	0.031216200958857066	0.2652890450305119	0.19966093539395038	0.04015500273625426	0.11320581001142521	0.062308413366951906	-0.2663598197516887	0.27397345046442656	-0.08087590977872613	0.05323945255502993	0.044721188106842724	-0.18336099556825908	0.17537305440272066	-0.01943936359177895	-0.1989159899348928	0.043484452323811866	0.006775822539512711	-0.30030943767833373	0.25333534088212306	0.2081539575591449	0.16819593950854303	0.07606008978280385	-0.2920166472833669	-0.10075172073672552	0.04845774017716893	-0.061419312029003255	-0.10086983021554474	-0.19786864479101268	0.0032466184547169704	-0.05726045893875863	-0.022026747030354468	-0.008271179434902132	0.30284749093413244	0.24672043674802946	-0.025398848677662574	-0.062109075912261405	0.005698398717940715	-0.1980950872525108	0.05005659150408856	0.06798140957891503	0.07085355666744618	0.21839185187404345	0.055236391041489245	-0.18424368186247642	-0.24834687769862537	-0.17438880429212333	-8.758953889516884e-05	0.15474136661871046	-0.04967241506796183	-0.1106952135299326	0.12722402616581902	-0.025713422343802902	0.1578694763772169	0.06064649119298997	0.03746789278542984	0.01533777230502605	0.17302249582964158	0.07772008436605678	0.09250541396478924	0.19134409676824707	-0.05123883480034801	0.07040942899993849	0.1888046315996331	-0.011983688688699447	0.038789949887291716	0.1776614959182643	0.012948897227016413	0.33276615882769306	0.20858195931821924	0.1003179500682701	0.006280731876954746	0.03204497743926143	-0.18383089199552582
s__Aggregatibacter_segnis	0.019483348979630468	-0.07799678527399731	-0.12888615714293317	1.0	-0.31282863221151735	0.2835021628437764	0.37655671295604676	0.020880193371040103	0.013523765774217792	-0.31167130861031433	-0.053225120445646465	0.7175120441882279	-0.16223065633146333	0.006030682170481081	0.9561158245205796	-0.27568152324921286	0.3214545022800316	-0.11506043194342316	-0.13219761197661134	-0.2326618780723821	-0.3424481845541709	0.27265965167417816	0.5228324949506562	-0.5554689829160536	-0.4720538700574055	0.8790137975389654	-0.24270851205229932	-0.040185449157567686	-0.3153745882083145	0.7633372349379313	-0.3875236018933774	0.3231306859443358	0.6930608701978376	-0.4333439060718925	0.37568004634135915	0.3695517103055257	0.7689178185123776	-0.08125937539546196	-0.3420297585158454	-0.5026533827076142	-0.8981654273677793	-0.43636532664065075	0.3444574358632365	-0.07541647530601998	0.7735260500253547	0.9595119147348683	-0.32352916116788544	-0.5877128308985775	-0.29739038494760717	-0.05725174050482295	-0.5643433724069501	0.23389706229624566	-0.08639644719883474	0.36672946913626403	-0.06352275690144925	-0.5813221385195695	0.7480944651708064	0.31816737908945103	-0.2087273410250039	-0.3426897059775764	-0.251922352536352	-0.3975396358824098	0.018150357952542433	-0.45272486615445307	-0.08227570964583882	-0.3015720764992483	0.18107969012309208	-0.5721017897711304	-0.31701615910111636	-0.24286386177996852	-0.24563874984386355	0.09976073569429036	-0.3833865996026341	-0.1543795166170101	-0.06422074306153452	-0.216716077549298	-0.31853579633521145	-0.42433926536736527	-0.22631675816390487	-0.45812593953073866	0.41273026835066173
s__Aggregatibacter_sp_2125159857	0.35295726926744375	0.3939617055406764	0.026529974318593687	-0.31282863221151735	1.0	-0.27245011339159153	-0.34748265560904545	0.2973942423523374	0.1212673285083148	0.20500191248944083	-0.054572679733616736	-0.13374753423485325	0.3258746529579635	0.2835558639663365	-0.35010360604877494	0.22224439002972268	-0.3133078945474067	0.240174582940914	0.2905250897088466	0.4057030738650044	0.27810003829422847	-0.27672583537787854	-0.30724761109441756	0.0645417313878062	-0.1510777210788568	-0.43113787297728584	0.30700349439653757	0.3542777495462477	0.13889941926107435	-0.08366380641507071	0.4106928662617486	-0.21531439030735813	-0.16845430251856913	-0.1689302302748727	-0.20853651585867894	-0.3120512153251868	-0.051577652976183205	0.11218051377100394	0.3716558235718137	-0.19187878287584442	0.3817618000120989	0.44049578060979044	-0.27900301683889206	0.042071199093048815	-0.09333245980064567	-0.3377312793254109	0.2211867555069472	0.1038395074001641	0.16814528435509446	0.015475720611127383	0.0536204031349046	-0.19810464626990168	0.051536986757841206	-0.35443577356384226	0.2562771894791824	0.5304264077342644	-0.028549262597475332	-0.3534426844043823	0.4475493496639479	0.3438174304525269	0.14115257478191195	0.2389880150337111	0.1365236646252424	-0.10823731860175934	0.16439743993424313	0.20158398365331695	-0.3288070109906007	0.5628567895146948	0.4915152861602996	0.1545209170236105	0.417581568443773	-0.19322119788463749	-0.1292003819288963	0.33743908144541834	0.30241704472499215	0.3347586217785298	0.17656225477145324	-0.037261359077601884	0.36463738473573604	-0.21502834418575303	-0.5385891545244963
s__Alloprevotella_SGB1410	-0.03697834334332924	-0.1849055535367987	-0.14787195985112417	0.28350216284377633	-0.27245011339159153	1.0	0.9456628319331855	-0.22806778339298756	-0.13266921800532652	-0.33673757045225927	0.01532121395424252	-0.27034049974905494	-0.27615065420854035	0.040573520363465565	0.42377414084030907	-0.15516180887069225	0.9460139906135384	-0.10774261010292374	-0.06826926043552661	-0.1458157273239618	-0.2981710452875689	0.9194864379970106	0.29019120640003776	-0.3556886787843614	-0.32107145176429475	0.631574471284488	-0.23772956904809606	-0.2407251210931588	-0.2551592742901822	-0.3016256394815271	-0.24443869160926374	0.9432402979461545	-0.3781998494139719	-0.24660885099887814	0.9350122930721207	0.9023590078898167	-0.25792319166215627	-0.19945193256728316	-0.3158484725003306	-0.27739077044386745	-0.5963611542363331	-0.3143219044372844	0.9442587678210947	0.03061545783434862	-0.2620504579709494	0.4064689855319928	-0.19264897443912246	-0.341631334656834	-0.27839708416671344	-0.07098786282615883	-0.3524657447892148	0.8495247367780796	-0.11682319889990991	0.11437646581872579	-0.27803654981447967	-0.3707985201269097	-0.3149704699997927	0.9532926548412737	-0.0006544163370113315	-0.24053644182738348	-0.20499269108630613	-0.2579889468177119	-0.07947949568420748	-0.32964012512033286	-0.07309115410912773	-0.23367576532320944	0.9177860167070591	-0.29355570697599126	-0.08887780750934182	-0.2862349546255564	-0.20568734947551257	-0.5356864137359401	-0.32953763443236794	-0.23569463555028713	-0.12278029661266239	-0.318356804751301	-0.22638793899699405	-0.3134953004442225	-0.0659778408367861	-0.2630391084834196	0.36027765595794126
s__Alloprevotella_sp_oral_taxon_473	-0.2102613126247851	-0.3763916940073737	-0.14234354179035083	0.37655671295604676	-0.3474826556090454	0.9456628319331855	1.0	-0.16220400222826392	-0.05619381066759126	-0.36238427131704587	0.028946189446305417	-0.25945234526806094	-0.20584584072503803	0.05295884952202301	0.5414142751519304	-0.07159859399963796	0.9162237113545272	-0.055491533143526214	-0.08052409735115429	-0.16535249101183397	-0.2708002353864417	0.9330752618534902	0.2964945381986165	-0.36449664492570016	-0.3344497066284293	0.6964225265854338	-0.14143454933372937	-0.25058247077342855	-0.280861813117964	-0.2653139482225526	-0.17562070200997348	0.911517271898634	-0.27461923300282376	-0.28385675783094033	0.8670132511645645	0.8416018470074269	-0.19432720059264189	-0.17732716592250827	-0.3208667748768524	-0.3326699609420264	-0.6206666757145014	-0.2611361664029398	0.9220383243952075	0.04595445354300727	-0.20618336522747738	0.4833912884176119	-0.17682727316646796	-0.3008348738249803	-0.2728416071561563	-0.08969679895149298	-0.40025495829200397	0.8314153466363698	-0.014833939792695799	0.1018546857715986	-0.27322635809875384	-0.42980779384849205	-0.2564037212736114	0.9204262163151977	-0.03666724798188621	-0.2873915850394487	-0.23801355479205027	-0.22823069035979082	0.027637911598563138	-0.30801591289924996	-0.15666145363390183	-0.2752925099688972	0.9101182478064858	-0.307729876669678	-0.012492174608828602	-0.3211077621203611	-0.25721313062723156	-0.5702443501474107	-0.32254816786957086	-0.22073082070752784	-0.14412283209685187	-0.23613267956481504	-0.3023170524241189	-0.3423000501831216	-0.06665556844622003	-0.294192358668576	0.3265622883433637
s__Arachnia_propionica	0.09482441206341521	0.41547443214597535	-0.0543784059148179	0.020880193371040103	0.2973942423523374	-0.22806778339298756	-0.16220400222826392	1.0	0.3474290546838284	0.1852492927760817	-0.0399043990029497	0.11462046915648624	0.11942954085046764	0.5114495707680001	-0.05159930107447104	0.15048334924944268	-0.13356593124010724	0.31269826677330015	0.145152677111637	0.15044395809515115	0.17053981471045726	-0.2020073159738061	-0.0453001894325465	-0.23240801579825154	-0.47216993930852363	-0.058430248692063036	0.22598734523945802	0.5128756053402522	0.12410533656077835	0.17832403351810414	0.13980141557939513	-0.16092754508853552	0.2574839389757493	-0.4690061444409833	-0.2442857224137123	-0.2570234727964884	0.23858707211275768	0.10508909031253365	0.2530608178057817	-0.4331206777099773	0.22312854414508598	0.26010998847357153	-0.03372765588072241	0.4522390576297382	0.17779978240513816	0.03739058995735181	0.3113473468889228	-0.272854596317635	0.17225199759485454	0.04031389917239129	-0.2841652081164684	-0.017912369966118977	0.15048200254924685	-0.3469936887081764	0.3488997048995982	0.4604709809551727	0.1717686211249193	-0.1505247351170921	-0.004207445575739634	0.115025191693266	0.13051471690106334	0.10298141976352856	0.11403014221141085	-0.35759400732495755	0.2790723227332347	0.18081244573197425	-0.17823452566014517	0.3555256809047378	0.39073063777388717	0.4357147548587017	0.22802382743334088	-0.22722312614393256	-0.34569195651636964	0.2895285752790936	0.4436909964971246	0.1796451388590854	0.1581537116181682	-0.3545641940585317	0.257280994829181	-0.2609126270242613	-0.577903433409746
s__Bacteroidetes_oral_taxon_274	-0.10799214389456965	0.2790771883309776	0.031216200958857063	0.013523765774217792	0.12126732850831479	-0.13266921800532652	-0.05619381066759125	0.3474290546838284	1.0	0.1458927250263457	0.22981087209282386	0.19588312191751173	-0.19310201460933002	-0.03437693721490379	-0.05035753935260691	0.04334391380446732	-0.02666097851720602	0.27387562702321755	-0.033938065160155614	0.10981798490961442	0.1104270747684933	-0.10388224838964527	0.17120027798667747	0.05081519031320372	-0.31437703979414977	-0.06368940629612801	0.23891409070123495	0.4216174696922049	0.14590101075007308	0.06751213545898002	0.20365755742827957	-0.009853503045702795	0.029026465073834325	-0.1565163292327579	-0.20065040990596347	-0.17518155238655925	0.10952430164093069	0.2584415421505949	-0.07654244788035551	-0.14901696576568849	0.14045586894716744	0.10110496700928621	-0.1558966371371177	0.09305871703556347	0.10829149835775412	0.03792929067979424	0.22280498666366755	-0.02104662140756379	0.30462323003519	0.08987680233013465	-0.016245490217564877	-0.20295125884552262	0.041272880483426935	-0.2501174613614997	0.39256694000065584	0.28796282901981396	0.11728568723304582	-0.1617640842394335	-0.05392935174042893	0.39150505774537075	0.26843311485994714	0.24727467150439708	-0.12303794218999434	-0.3119465807121794	0.11769822778126841	0.17445022848414354	-0.22045141683686864	0.13176246302259587	0.2559009253483666	0.006019644763103583	0.10876459256655036	-0.11480895175919195	-0.08507861565603606	0.1802027291100061	0.15489762112035232	-0.03337465049438109	0.1263240312512493	-0.2115455067224175	0.07185327307443487	-0.2096509906792196	-0.27164725101509923
s__Campylobacter_concisus	-0.23698418678162428	0.06518338394456608	0.265289045030512	-0.31167130861031433	0.20500191248944083	-0.33673757045225927	-0.36238427131704587	0.18524929277608168	0.14589272502634568	1.0	0.13069002794469403	-0.10057859375859604	0.13548271863144443	0.206046216889859	-0.3729965004292433	-0.16086185044231827	-0.2589346579690093	0.0031209675998205566	-0.1869025052029255	-0.04787778849171327	0.917424762002701	-0.29345473841665615	0.035858103035408116	-0.2690425877354362	-0.1357661604667367	-0.39668312858189636	-0.12528873870727458	0.24518618884191828	0.9452135986634559	-0.1296699032471719	0.28501480266792156	-0.27303192216574595	-0.14379968342970603	-0.22505822018926563	-0.2864810218189805	-0.31042851611946876	-0.1769667736364685	0.2384073963231555	0.32937871076648867	-0.0937816345055831	0.3910231668150911	-0.20917452305893308	-0.32300579528848217	0.06945443043338018	-0.1686436662513051	-0.3981678577194626	-0.10012823084904524	-0.2684680324166112	0.9159035314886574	0.09616218771947357	-0.27978976147247603	-0.3166279481066455	0.05228766773282044	-0.704737237684866	0.31588508837332896	0.6143724903082568	-0.1124677427633577	-0.33167264697004273	0.03269665769735809	0.12214772139274752	0.9066895002023048	0.8642562312089511	-0.05373162797507522	-0.12616977254226638	-0.13397604466142898	0.9397911464552424	-0.27116399118776574	-0.3050884446991005	0.13451816356887897	0.013019744218237417	0.03323107248992075	0.42529714888679115	-0.2361729375180315	0.11475174577178676	0.35130290969637545	0.1994696081400773	0.9351808799304286	-0.11744122402409621	-0.013232316924340473	-0.2075148446002124	0.049577539338053964
